company_id,transaction_date,account_id,transaction_name,amount
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","72200","Life Insurance","1256.37"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","72500","Advertising/Marketing","98.97"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","72500","Advertising/Marketing","98.97"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","72500","Advertising/Marketing","98.97"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","72500","Advertising/Marketing","98.97"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","72500","Advertising/Marketing","98.97"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","72500","Advertising/Marketing","98.97"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","76500","Accounting, Consulting, PR & Legal","1250"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","76500","Accounting, Consulting, PR & Legal","1250"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","76500","Accounting, Consulting, PR & Legal","1250"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","76500","Accounting, Consulting, PR & Legal","1250"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","76500","Accounting, Consulting, PR & Legal","1250"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","76500","Accounting, Consulting, PR & Legal","1250"
"cmmnwyofv000fqhp4z8lebbny","2023-03-02","76500","Accounting, Consulting, PR & Legal","1250"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-52780.13"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-52780.13"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-38197.38"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-57179.1"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-38197.38"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-52780.13"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-53402.23"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-53402.23"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-57179.1"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-53402.23"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-38197.38"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-38197.38"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-57179.1"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-57179.1"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-52780.13"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-53402.23"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-57179.1"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-52780.13"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-53402.23"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-53402.23"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-52780.13"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-57179.1"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-38197.38"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-53402.23"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-52780.13"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-57179.1"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","10100","Cash - Atlantic Union Bank","-38197.38"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","337.76"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","3457.8"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","3918.24"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","146.78"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","4324.32"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","269.2"
"cmmnwyofv000fqhp4z8lebbny","2023-03-03","11100","Accounts Receivable","7116.66"
