voucher,vendor_id,vendor_name,invoice_num,terms_code,created_date,created_amount,event_type,event_date,event_amount,running_open_after_event,source_program,source_item_id
13559,1240501,"Enterprise Rubber, Inc.",226985,N30,2023-09-13,2045.00,P,2023-10-06,-2045.00,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[ae779934-1e19-4236-bca1-94b18ac26648] aptrxp.DT=[2023-10-06 11:50:04.770]
13560,1049001,"APR Asia Co., Ltd.",632198,N45,2023-09-13,774.00,V,2023-09-13,774.00,774.00,,
13560,1049001,"APR Asia Co., Ltd.",632198,N45,2023-09-13,774.00,P,2023-10-13,-774.00,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[5a6b9fd6-ca58-4a16-8783-0d3efebf3082] aptrxp.DT=[2023-10-13 11:14:17.250]
13578,9779401,"Kanawha Scales & Systems, LLC.",WV1414100557,,2023-09-13,350.00,V,2023-09-13,350.00,350.00,,
13596,9276703,FedEx Freight,7355601713,,2023-09-13,280.50,V,2023-09-13,280.50,280.50,,
13566,9549801,"MSI Viking Gage, LLC",3102807,,2023-09-14,157.00,V,2023-09-14,157.00,157.00,,
13569,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230043,N90,2023-09-14,188139.21,V,2023-09-14,188139.21,188139.21,,
13569,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230043,N90,2023-09-14,188139.21,P,2023-11-17,-188139.21,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[c06fa86c-0bfd-488a-8d96-9a16a50efa35] aptrxp.DT=[2023-11-17 11:27:53.007]
13573,9707001,Piedmont Community Healthcare HMO Inc.,3687,,2023-09-14,8002.26,V,2023-09-14,8002.26,8002.26,,
13573,9707001,Piedmont Community Healthcare HMO Inc.,3687,,2023-09-14,8002.26,P,2023-10-02,-8002.26,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[3aab9de0-a615-4c46-aa0c-13ff1af98275] aptrxp.DT=[2023-10-02 07:56:16.393]
13574,9707001,Piedmont Community Healthcare HMO Inc.,4031,,2023-09-14,3319.97,V,2023-09-14,3319.97,3319.97,,
13567,9549703,The Mid-State Group,1203,,2023-09-15,993.75,V,2023-09-15,993.75,993.75,,
13568,9135801,"C.H Robinson International, Inc.",6187798237,,2023-09-15,1874.90,V,2023-09-15,1874.90,1874.90,,
13570,1240501,"Enterprise Rubber, Inc.",227005,N30,2023-09-15,4569.64,V,2023-09-15,4569.64,4569.64,,
13571,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230052,N90,2023-09-15,641.75,V,2023-09-15,641.75,641.75,,
13576,9544201,Mai Tuo Singapore PTE LTD,MT2308027,,2023-09-15,3140.00,V,2023-09-15,3140.00,3140.00,,
13579,9881301,UPS,1704384504,,2023-09-15,1548.07,V,2023-09-15,1548.07,1548.07,,
13579,9881301,UPS,1704384504,,2023-09-15,1548.07,P,2023-10-03,-1548.07,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[1955fb11-5993-4cf2-ba20-a5cc4f8d0436] aptrxp.DT=[2023-10-05 14:24:00.817]
13580,9881301,UPS,00001533W5373,,2023-09-16,244.95,V,2023-09-16,244.95,244.95,,
13580,9881301,UPS,00001533W5373,,2023-09-16,244.95,P,2023-10-04,-244.95,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[2d68da74-cbef-49d5-94e0-ab81c2c4346b] aptrxp.DT=[2023-10-05 14:38:06.567]
13577,9342902,John Hancock USA - 401K,401K 2023-09-20,,2023-09-18,2375.79,V,2023-09-18,2375.79,2375.79,,
13581,1240501,"Enterprise Rubber, Inc.",227014,N30,2023-09-18,1390.00,V,2023-09-18,1390.00,1390.00,,
13582,1897801,Vatsalya Metal Industries,EXP-153,N60,2023-09-18,15824.48,V,2023-09-18,15824.48,15824.48,,
13582,1897801,Vatsalya Metal Industries,EXP-153,N60,2023-09-18,15824.48,P,2023-11-07,-15824.48,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[97fb138c-113b-4d99-9a8b-192090d1eed9] aptrxp.DT=[2023-11-07 12:14:16.430]
13583,1135001,CGR Products,2696654,N45,2023-09-18,1606.00,V,2023-09-18,1606.00,1606.00,,
13584,1897801,Vatsalya Metal Industries,EXP-116,N60,2023-09-18,67503.30,V,2023-09-18,67503.30,67503.30,,
13586,1850001,"Anhui TongFeng Electronics Co., Ltd.",TF-230908/XC,N80,2023-09-18,192.90,V,2023-09-18,192.90,192.90,,
13586,1850001,"Anhui TongFeng Electronics Co., Ltd.",TF-230908/XC,N80,2023-09-18,192.90,P,2023-11-13,-192.90,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[83d42784-d32a-45c0-9281-95eb5fe1869a] aptrxp.DT=[2023-11-13 11:47:06.087]
13587,9881302,US Customs and Border Protection,53232350CP,,2023-09-18,9655.46,V,2023-09-18,9655.46,9655.46,,
13588,9881302,US Customs and Border Protection,142324205U,,2023-09-18,14883.27,V,2023-09-18,14883.27,14883.27,,
13588,9881302,US Customs and Border Protection,142324205U,,2023-09-18,14883.27,P,2023-09-25,-14883.27,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[5663c5dd-549c-43c5-987f-9fbd79f4cf5c] aptrxp.DT=[2023-09-26 16:42:44.207]
13589,9881302,US Customs and Border Protection,142324405A,,2023-09-18,1883.73,V,2023-09-18,1883.73,1883.73,,
13590,9881302,US Customs and Border Protection,142324305C,,2023-09-18,15348.33,V,2023-09-18,15348.33,15348.33,,
13591,9881302,US Customs and Border Protection,532322308H,,2023-09-18,11921.42,V,2023-09-18,11921.42,11921.42,,
13591,9881302,US Customs and Border Protection,532322308H,,2023-09-18,11921.42,P,2023-09-26,-11921.42,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[9e4e8a75-0f6a-46ef-9e7e-0142a451fe48] aptrxp.DT=[2023-09-26 16:42:44.207]
13592,9881302,US Customs and Border Protection,53232270B4,,2023-09-18,7393.07,V,2023-09-18,7393.07,7393.07,,
