trans_date,beg_balance,daily_net_change,ending_balance_with_opening
2026-03-02,,-117124.54000000002,
2026-03-03,,-42725.78999999999,
2026-03-04,,-28236.59,
2026-03-05,,-41464.07000000001,
2026-03-06,,-73216.74999999999,
2026-03-09,,-19015.980000000003,
2026-03-11,,-6653.03,
2026-03-12,,-4864.2,
2026-03-13,,-8188.51,
2026-03-16,,-101837.82000000002,
2026-03-17,,-57074.22,
2026-03-18,,-22865.030000000006,
2026-03-19,,-63595.109999999986,
2026-03-20,,-46836.42,
2026-03-23,,-30075.449999999997,
2026-03-24,,-78310.24999999999,
2026-03-25,,-25443.789999999997,
2026-03-26,,-154914.17,
2026-03-27,,-97541.23,
2026-03-30,,-81790.40999999999,
2026-03-31,,-28063.48,
