trans_date_utc,account_id,site,trans_num,ref,drcr,debit,credit,signed_amount,description,source_program
2026-02-01T00:00:00.000Z,30100,LYN,667521,APV  403425,,,,-19.13,,SLGLTRANS
2026-02-02T00:00:00.000Z,30100,LYN,666506,APV  403383,,,,-1250,,SLGLTRANS
2026-02-02T00:00:00.000Z,30100,LYN,666508,APV  403385,,,,-4904.48,,SLGLTRANS
2026-02-02T00:00:00.000Z,30100,LYN,666511,APP 9282501,,,,600,,SLGLTRANS
2026-02-02T00:00:00.000Z,30100,LYN,666513,APP 9881301,,,,202.5,,SLGLTRANS
2026-02-03T00:00:00.000Z,30100,LYN,666518,APV  403388,,,,-6.51,,SLGLTRANS
2026-02-03T00:00:00.000Z,30100,LYN,666522,APV  403389,,,,-43.04,,SLGLTRANS
2026-02-03T00:00:00.000Z,30100,LYN,666524,APV  403390,,,,-237,,SLGLTRANS
2026-02-03T00:00:00.000Z,30100,LYN,666819,APV  403401,,,,-33775.53,,SLGLTRANS
2026-02-03T00:00:00.000Z,30100,LYN,666821,APV  403402,,,,-22556.47,,SLGLTRANS
2026-02-03T00:00:00.000Z,30100,LYN,666823,APV  403403,,,,-28776,,SLGLTRANS
2026-02-03T00:00:00.000Z,30100,LYN,666825,APV  403404,,,,-19148.1,,SLGLTRANS
2026-02-04T00:00:00.000Z,30100,LYN,666671,APV  403396,,,,-183.8,,SLGLTRANS
2026-02-04T00:00:00.000Z,30100,LYN,666673,APV  403397,,,,-30901.74,,SLGLTRANS
2026-02-04T00:00:00.000Z,30100,LYN,666675,APV  403398,,,,-20602.21,,SLGLTRANS
2026-02-04T00:00:00.000Z,30100,LYN,666806,APP 9881301,,,,148.76,,SLGLTRANS
2026-02-04T00:00:00.000Z,30100,LYN,666808,APP 9276701,,,,17.71,,SLGLTRANS
2026-02-04T00:00:00.000Z,30100,LYN,666810,APP 9276701,,,,163.47,,SLGLTRANS
2026-02-04T00:00:00.000Z,30100,LYN,666815,APV  403400,,,,-1526.49,,SLGLTRANS
2026-02-05T00:00:00.000Z,30100,LYN,668030,APV  403435,,,,-37.5,,SLGLTRANS
2026-02-05T00:00:00.000Z,30100,LYN,671286,APV  403502,,,,-25437.13,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666973,APP 1049001,,,,17007.8,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666974,APP 1049001,,,,4075,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666975,APP 1049001,,,,28776,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666977,APP 9292501,,,,3510,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666979,APP 1966101,,,,69.52,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666980,APP 1966101,,,,22178.49,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666982,APP 9276701,,,,16.99,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666984,APP 1007401,,,,786,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666986,APP 1240501,,,,397.5,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666988,APP 9233001,,,,6014.02,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666990,APP 9458201,,,,125,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666991,APP 9458201,,,,43,,SLGLTRANS
2026-02-06T00:00:00.000Z,30100,LYN,666992,APP 9458201,,,,515,,SLGLTRANS
