trans_date,transaction_count,daily_change,running_balance_from_month_start
2026-02-02,23,-36033,-36033
2026-02-03,20,-27986.969999999998,-64019.97
2026-02-04,17,-32966.03,-96986
2026-02-05,18,-21712.35,-118698.35
2026-02-06,29,-52289.6,-170987.95
2026-02-07,2,-1897.8,-172885.75
2026-02-09,43,-74132.65000000001,-247018.40000000002
2026-02-10,29,-46526.11000000001,-293544.51
2026-02-11,27,-43714.45999999999,-337258.97
2026-02-12,20,-26619.729999999996,-363878.69999999995
2026-02-13,30,-53253.21999999999,-417131.9199999999
2026-02-16,48,-105795.55000000003,-522927.47
2026-02-17,35,-64167.59,-587095.0599999999
2026-02-18,22,-47997.880000000005,-635092.94
2026-02-19,17,-32982.23999999999,-668075.1799999999
2026-02-20,57,-136800.77000000002,-804875.95
2026-02-23,36,-62809.83,-867685.7799999999
2026-02-24,30,-79449.06000000001,-947134.84
2026-02-25,32,-37748.899999999994,-984883.74
2026-02-26,14,-27047.54,-1011931.28
2026-02-27,52,-74986.77,-1086918.05
