trans_date_utc,account_id,site,trans_num,ref,drcr,debit,credit,signed_amount,description,source_program
2026-02-02T00:00:00.000Z,50000,LYN,666526,ARI    202600489,,,,-2306.56,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666529,ARI    202600491,,,,-1992.8,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666535,ARI    202600494,,,,-333,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666537,ARI    202600495,,,,-206.56,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666539,ARI    202600496,,,,-5110.27,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666541,ARI    202600497,,,,-3308.96,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666543,ARI    202600498,,,,-1096.15,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666545,ARI    202600499,,,,-3737.52,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666547,ARI    202600500,,,,-304.2,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666549,ARI    202600501,,,,-4243.97,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666551,ARI    202600502,,,,-2299.62,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666553,ARI    202600503,,,,-2538.22,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666555,ARI    202600504,,,,-143.29,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666557,ARI    202600505,,,,-521,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666559,ARI    202600506,,,,-827.1,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666561,ARI    202600507,,,,-66.12,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666563,ARI    202600508,,,,-329.42,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666565,ARI    202600509,,,,-342.98,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666567,ARI    202600510,,,,-469.41,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666569,ARI    202600511,,,,-280.26,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666571,ARI    202600512,,,,-5253.15,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666573,ARI    202600513,,,,-176.94,,SLGLTRANS
2026-02-02T00:00:00.000Z,50000,LYN,666575,ARI    202600514,,,,-145.5,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666677,ARI    202600515,,,,-216.02,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666679,ARI    202600516,,,,-165.3,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666681,ARI    202600517,,,,-1374.68,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666683,ARI    202600518,,,,-1286.81,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666685,ARI    202600519,,,,-2555.14,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666687,ARI    202600520,,,,-3308.96,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666689,ARI    202600521,,,,-1936.8,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666691,ARI    202600522,,,,-304.2,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666693,ARI    202600523,,,,-462.5,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666695,ARI    202600524,,,,-2744.76,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666697,ARI    202600525,,,,-2863.52,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666699,ARI    202600526,,,,-143.29,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666701,ARI    202600527,,,,-396.85,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666703,ARI    202600528,,,,-521,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666705,ARI    202600529,,,,-827.1,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666707,ARI    202600530,,,,-224.25,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666709,ARI    202600531,,,,-251.2,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666711,ARI    202600532,,,,-96.68,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666713,ARI    202600533,,,,-164.71,,SLGLTRANS
2026-02-03T00:00:00.000Z,50000,LYN,666715,ARI    202600534,,,,-8143.2,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666735,ARI    202600536,,,,-1492,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666738,ARI    202600535,,,,-6605.9,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666832,ARI    202600538,,,,-244.8,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666834,ARI    202600539,,,,-3578.4,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666836,ARI    202600540,,,,-1544.21,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666838,ARI    202600541,,,,-6617.92,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666840,ARI    202600542,,,,-1096.15,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666842,ARI    202600543,,,,-128.88,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666844,ARI    202600544,,,,-3873.6,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666846,ARI    202600545,,,,-2777.95,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666848,ARI    202600546,,,,-551.4,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666850,ARI    202600547,,,,-112.13,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666852,ARI    202600548,,,,-125.6,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666854,ARI    202600549,,,,-96.68,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666856,ARI    202600550,,,,-164.71,,SLGLTRANS
2026-02-04T00:00:00.000Z,50000,LYN,666858,ARI    202600551,,,,-3502.1,,SLGLTRANS
