date,amt_by_transdate,amt_by_recorddate
2026-03-02,13770.89,
2026-03-03,36257.46000000001,
2026-03-04,-34729.25,
2026-03-05,0,
2026-03-06,-71867.29,
2026-03-09,70981.29000000001,
2026-03-10,31894.890000000014,
2026-03-11,-30963.89,
2026-03-12,0,
2026-03-13,-50953.36000000002,
2026-03-16,2608.64,
2026-03-17,77110.55999999998,
2026-03-18,-30912.489999999994,
2026-03-19,0,
2026-03-20,-17301.420000000006,
2026-03-23,17301.419999999984,
2026-03-24,30865.72,
2026-03-25,-29710.56999999996,
2026-03-26,2.8990143619012088e-12,
2026-03-27,-35966.130000000005,
2026-03-30,35122.12999999999,
2026-03-31,21272.99,
2026-04-01,,34781.589999999924
