trans_date,tx_count,daily_net,running_balance
2026-01-02,1,3103.19,3103.19
2026-01-03,1,-66.68,3036.51
2026-01-05,2,-1500,1536.5100000000002
2026-01-06,2,-432.5,1104.0100000000002
2026-01-07,8,-64332.759999999995,-63228.74999999999
2026-01-08,7,-1947.8,-65176.549999999996
2026-01-09,39,164678.90999999997,99502.35999999999
2026-01-10,1,-154.71,99347.64999999998
2026-01-12,9,-47025.19,52322.45999999998
2026-01-13,5,23646.599999999995,75969.05999999997
2026-01-14,7,-7656.01,68313.04999999997
2026-01-15,7,-75183.63,-6870.580000000031
2026-01-16,27,147110.73,140240.14999999997
2026-01-17,1,-148.76,140091.38999999996
2026-01-19,7,-124280.6,15810.78999999995
2026-01-20,2,-181.18,15629.60999999995
2026-01-21,4,-10812.52,4817.089999999949
2026-01-22,7,-8695.789999999999,-3878.70000000005
2026-01-23,25,154491.22999999998,150612.52999999994
2026-01-24,2,-787.0699999999999,149825.45999999993
2026-01-26,8,124093.34999999998,273918.80999999994
2026-01-27,4,-816.34,273102.4699999999
2026-01-28,11,-11346.099999999999,261756.3699999999
2026-01-29,7,-139454.45,122301.9199999999
2026-01-30,25,-22655.27000000001,99646.64999999988
2026-01-31,4,-26565.33,73081.31999999988
2026-02-01,1,-19.13,73062.18999999987
2026-02-02,4,-5351.98,67710.20999999988
2026-02-03,7,-104542.65,-36832.44000000012
2026-02-04,7,-52884.3,-89716.74000000012
2026-02-05,2,-25474.63,-115191.37000000013
2026-02-06,30,25643.599999999988,-89547.77000000014
2026-02-07,1,-148.42,-89696.19000000013
2026-02-09,8,-21073.159999999996,-110769.35000000012
2026-02-10,5,10771.42,-99997.93000000012
2026-02-11,6,-2134.85,-102132.78000000013
2026-02-12,7,-56818.50000000001,-158951.28000000014
2026-02-13,18,87550.63,-71400.65000000014
2026-02-14,1,-135.16,-71535.81000000014
2026-02-15,1,-1325,-72860.81000000014
2026-02-16,5,-53678.65,-126539.46000000014
2026-02-17,11,-178167.47,-304706.93000000017
2026-02-18,7,-3865.1900000000005,-308572.12000000017
2026-02-19,3,-1216.57,-309788.6900000002
2026-02-20,20,-8394.539999999986,-318183.23000000016
2026-02-21,2,-1435.65,-319618.8800000002
2026-02-22,1,-720,-320338.8800000002
2026-02-23,8,17525.739999999998,-302813.1400000002
2026-02-24,15,108934.45000000001,-193878.69000000018
2026-02-25,5,-661.79,-194540.48000000019
2026-02-26,4,-120167.09,-314707.5700000002
2026-02-27,32,63967.77000000002,-250739.80000000016
2026-02-28,3,-8736.19,-259475.99000000017
