trans_date_utc,account_id,site,trans_num,ref,drcr,debit,credit,signed_amount,description,source_program
2026-02-02T00:00:00.000Z,10150,LYN,666493,"Harris Co, TX PPT",,,,-11301.62,,SLGLTRANS
2026-02-02T00:00:00.000Z,10150,LYN,666495,TX PPT Cypress Fairbanks,,,,-9614.05,,SLGLTRANS
2026-02-02T00:00:00.000Z,10150,LYN,666497,Transamerica,,,,-654.16,,SLGLTRANS
2026-02-02T00:00:00.000Z,10150,LYN,666499,Mass Mutual,,,,-347.41,,SLGLTRANS
2026-02-02T00:00:00.000Z,10150,LYN,666501,Sharp Copier Lease,,,,-289.13,,SLGLTRANS
2026-02-02T00:00:00.000Z,10150,LYN,666503,Fee for TX PPT,,,,-1,,SLGLTRANS
2026-02-02T00:00:00.000Z,10150,LYN,666504,LOC,,,,28940.11,,SLGLTRANS
2026-02-02T00:00:00.000Z,10150,LYN,666510,APP 9282501,,,,-600,,SLGLTRANS
2026-02-02T00:00:00.000Z,10150,LYN,666512,APP 9881301,,,,-202.5,,SLGLTRANS
2026-02-03T00:00:00.000Z,10150,LYN,666531,ARP  151311559,,,,1671.32,,SLGLTRANS
2026-02-03T00:00:00.000Z,10150,LYN,666533,ARP  2032026,,,,1206.63,,SLGLTRANS
2026-02-03T00:00:00.000Z,10150,LYN,666577,ARP  494342,,,,2330,,SLGLTRANS
2026-02-03T00:00:00.000Z,10150,LYN,666579,ARP  12012,,,,1045,,SLGLTRANS
2026-02-03T00:00:00.000Z,10150,LYN,666651,401K Weekly Exp,,,,-3036.41,,SLGLTRANS
2026-02-03T00:00:00.000Z,10150,LYN,666653,GRPW Prem. United,,,,-823.86,,SLGLTRANS
2026-02-03T00:00:00.000Z,10150,LYN,666655,Comcast,,,,-450.09,,SLGLTRANS
2026-02-03T00:00:00.000Z,10150,LYN,666658,Proliant,,,,-116.77,,SLGLTRANS
2026-02-03T00:00:00.000Z,10150,LYN,666659,LOC,,,,29608.46,,SLGLTRANS
2026-02-04T00:00:00.000Z,10150,LYN,666217,,,,,-22705.52,,SLGLTRANS
2026-02-04T00:00:00.000Z,10150,LYN,666218,,,,,-8728.76,,SLGLTRANS
2026-02-04T00:00:00.000Z,10150,LYN,666717,ARP  1194276,,,,29000.02,,SLGLTRANS
2026-02-04T00:00:00.000Z,10150,LYN,666730,ARP  5057520,,,,5457.87,,SLGLTRANS
2026-02-04T00:00:00.000Z,10150,LYN,666795,ARP  85681,,,,19662.72,,SLGLTRANS
2026-02-04T00:00:00.000Z,10150,LYN,666800,LOC,,,,-53664.83,,SLGLTRANS
2026-02-04T00:00:00.000Z,10150,LYN,666802,Water & Sewer,,,,-125.84,,SLGLTRANS
2026-02-04T00:00:00.000Z,10150,LYN,666805,APP 9881301,,,,-148.76,,SLGLTRANS
2026-02-04T00:00:00.000Z,10150,LYN,666807,APP 9276701,,,,-17.71,,SLGLTRANS
2026-02-04T00:00:00.000Z,10150,LYN,666809,APP 9276701,,,,-163.47,,SLGLTRANS
2026-02-05T00:00:00.000Z,10150,LYN,666827,ARP  1148276,,,,554.4,,SLGLTRANS
2026-02-05T00:00:00.000Z,10150,LYN,666829,ARP  2052026,,,,3865.39,,SLGLTRANS
2026-02-05T00:00:00.000Z,10150,LYN,666871,ARP  782517,,,,7250,,SLGLTRANS
2026-02-05T00:00:00.000Z,10150,LYN,666969,LOC,,,,-20892.09,,SLGLTRANS
2026-02-05T00:00:00.000Z,10150,LYN,666971,Travelers,,,,-408,,SLGLTRANS
2026-02-05T00:00:00.000Z,10150,LYN,667062,ARP  2001074977,,,,9630.3,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,666972,APP 1049001,,,,-49858.8,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,666976,APP 9292501,,,,-3510,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,666978,APP 1966101,,,,-22248.01,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,666981,APP 9276701,,,,-16.99,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,666983,APP 1007401,,,,-786,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,666985,APP 1240501,,,,-397.5,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,666987,APP 9233001,,,,-6014.02,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,666989,APP 9458201,,,,-8436.49,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,666996,APP 9818901,,,,-720,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,666998,APP 1966001,,,,-252,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,667083,ARP  782959,,,,201627.92,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,667188,ARP  151312020,,,,940.5,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,667191,ARP  153897,,,,26928,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,667194,ARP  2062026,,,,21515.18,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,667270,LOC,,,,-192332.34,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,667272,Wire Fees,,,,-90,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,667273,APP 9276703,,,,-215.82,,SLGLTRANS
2026-02-06T00:00:00.000Z,10150,LYN,667343,ARP  2062026,,,,17288.37,,SLGLTRANS
2026-02-09T00:00:00.000Z,10150,LYN,667003,APP 9486503,,,,-931,,SLGLTRANS
2026-02-09T00:00:00.000Z,10150,LYN,667345,ARP  2092026,,,,412.5,,SLGLTRANS
2026-02-09T00:00:00.000Z,10150,LYN,667370,ARP  783452,,,,27850,,SLGLTRANS
2026-02-09T00:00:00.000Z,10150,LYN,667500,Incoming Wire Fee,,,,-20,,SLGLTRANS
2026-02-09T00:00:00.000Z,10150,LYN,667502,LOC,,,,-7030.43,,SLGLTRANS
2026-02-09T00:00:00.000Z,10150,LYN,667503,APP 1057301,,,,-11233.25,,SLGLTRANS
2026-02-09T00:00:00.000Z,10150,LYN,667505,APP 9282501,,,,-1250,,SLGLTRANS
2026-02-09T00:00:00.000Z,10150,LYN,667604,ARP  2092026,,,,8808.19,,SLGLTRANS
2026-02-10T00:00:00.000Z,10150,LYN,667611,ARP  151312259,,,,1165.89,,SLGLTRANS
2026-02-10T00:00:00.000Z,10150,LYN,667699,Anthem,,,,-12046.27,,SLGLTRANS
2026-02-10T00:00:00.000Z,10150,LYN,667701,Mass Mutual,,,,-2854.51,,SLGLTRANS
2026-02-10T00:00:00.000Z,10150,LYN,667703,Mass Mutual,,,,-411.95,,SLGLTRANS
2026-02-10T00:00:00.000Z,10150,LYN,667706,Proliant,,,,-116.77,,SLGLTRANS
2026-02-10T00:00:00.000Z,10150,LYN,667707,LOC,,,,59164.35,,SLGLTRANS
2026-02-10T00:00:00.000Z,10150,LYN,667709,APP 9436201,,,,-1526.49,,SLGLTRANS
2026-02-10T00:00:00.000Z,10150,LYN,667711,APP 9043801,,,,-12046.27,,SLGLTRANS
2026-02-11T00:00:00.000Z,10150,LYN,667447,,,,,-22705.56,,SLGLTRANS
2026-02-11T00:00:00.000Z,10150,LYN,667448,,,,,-8622.42,,SLGLTRANS
