company_id,month,target_field,mapped_account_id,mapped_account_code,mapped_account_name,glfact_eom_balance,glfact_row_count,latest_gl_account_name,data_review_cash_rollup
cmmnwyofv000fqhp4z8lebbny,2026-03,cash,10100,10100,Cash - Atlantic Union Bank,3059.48,10,,
cmmnwyofv000fqhp4z8lebbny,2026-03,cash,10150,10150,Cash - National Bank,27921.309999999947,579,,
cmmnwyofv000fqhp4z8lebbny,2026-03,cash,10200,10200,Money Market Account,,0,,
cmmnwyofv000fqhp4z8lebbny,2026-03,cash,10250,10250,Money Market Account - NB,0.81,2,,
cmmnwyofv000fqhp4z8lebbny,2026-03,cash,10400,10400,Checking - Flex Spending,,0,,
cmmnwyofv000fqhp4z8lebbny,2026-03,cash,10450,10450,Flex Spending - FCB,2126.4799999999996,11,,
