account_id,account_name,client_actual,slgltrans_cumulative_transdate_eom,glacctperiodbalances_endbalance_eom,account_review_expected_current,delta_gl_vs_client,delta_period_vs_client,data_review_cash_rollup_monthlyfinancial
10100,Cash - Atlantic Union Bank,95680.49,3059.480000000001,0,3059.480000000001,-92621.01000000001,-95680.49,3526924.409999999
10150,Cash - National Bank,62396.68,19590.700000000023,0,19590.700000000023,-42805.97999999998,-62396.68,3526924.409999999
10200,Money Market Account,0,0,0,0,0,0,3526924.409999999
10250,Money Market Account - NB,2502.84,0.81,0,0.81,-2502.03,-2502.84,3526924.409999999
10400,Checking - Flex Spending,204.78,0,0,0,-204.78,-204.78,3526924.409999999
10450,Flex Spending - FCB,4259.77,2126.4799999999996,0,2126.4799999999996,-2133.290000000001,-4259.77,3526924.409999999
TOTAL,,165044.56,24777.470000000023,0,24777.470000000023,-140267.08999999997,-165044.56,3526924.409999999
