billNo	billDate	dueDate	vendorId	amountCurrency	payments	openAmount	status
APR-20210149	2022-05-12	2022-05-12	1810801	132068.00	0.00	132068.00	OPEN
APR-20210155	2022-05-12	2022-05-12	1810801	140102.55	0.00	140102.55	OPEN
APR-20220053-TOOL	2022-05-12	2022-05-12	1810801	200.00	0.00	200.00	OPEN
APR-20220054-TOOL	2022-05-12	2022-05-12	1810801	200.00	0.00	200.00	OPEN
APR-20220052	2022-05-11	2022-05-11	1810801	478.00	0.00	478.00	OPEN
APR-20220049	2022-05-09	2022-05-09	1810801	573.30	0.00	573.30	OPEN
APR-20220050	2022-05-09	2022-05-09	1810801	504.98	0.00	504.98	OPEN
APR-20220051	2022-05-09	2022-05-09	1810801	3386.24	0.00	3386.24	OPEN
APR-20220046	2022-05-07	2022-05-07	1810801	658.35	0.00	658.35	OPEN
APR-20220045	2022-05-06	2022-05-06	1810801	658.35	0.00	658.35	OPEN
APR-20220047	2022-05-06	2022-05-06	1810801	1843.38	0.00	1843.38	OPEN
APR-20220048	2022-05-06	2022-05-06	1810801	1843.38	0.00	1843.38	OPEN
APR-20220043	2022-05-04	2022-05-04	1810801	599.80	0.00	599.80	OPEN
APR-20220044	2022-05-04	2022-05-04	1810801	329.18	0.00	329.18	OPEN
APR-2022016	2022-04-21	2022-04-21	1810801	573.30	0.00	573.30	OPEN
APR-2022016-2	2022-04-21	2022-04-21	1810801	573.30	0.00	573.30	OPEN
APR-2022016-3	2022-04-21	2022-04-21	1810801	504.98	0.00	504.98	OPEN
APR-20220038	2022-04-16	2022-04-16	1810801	150053.63	0.00	150053.63	OPEN
APR-20220039	2022-04-15	2022-04-15	1810801	4267.30	0.00	4267.30	OPEN
APR-20220037	2022-04-14	2022-04-14	1810801	21.95	0.00	21.95	OPEN
APR-20220034	2022-04-11	2022-04-11	1810801	42196.00	0.00	42196.00	OPEN
APR-20220035	2022-04-08	2022-04-08	1810801	885.08	0.00	885.08	OPEN
APR-2021062	2022-04-04	2022-04-04	1810801	1278.45	0.00	1278.45	OPEN
APR-20220033	2022-03-28	2022-03-28	1810801	42196.00	0.00	42196.00	OPEN
APR-20220032	2022-03-25	2022-03-25	1810801	6958.18	0.00	6958.18	OPEN
APR-20220028-TOOL	2022-03-23	2022-03-23	1810801	3100.00	0.00	3100.00	OPEN
APR-20220029-TOOL	2022-03-23	2022-03-23	1810801	2700.00	0.00	2700.00	OPEN
APR-20220030-TOOL	2022-03-23	2022-03-23	1810801	2700.00	0.00	2700.00	OPEN
APR-20220027	2022-03-21	2022-03-21	1810801	335.89	0.00	335.89	OPEN
APR-20220026	2022-03-18	2022-03-18	1810801	500.00	0.00	500.00	OPEN
APR-20220031	2022-03-18	2022-03-18	1810801	900.00	0.00	900.00	OPEN
APR-20210135	2022-03-14	2022-03-14	1810801	137106.43	0.00	137106.43	OPEN
APR-20210136	2022-03-14	2022-03-14	1810801	109312.69	0.00	109312.69	OPEN
APR-20220024	2022-03-04	2022-03-04	1810801	5471.35	0.00	5471.35	OPEN
APR-20220023	2022-03-02	2022-03-02	1810801	42196.00	0.00	42196.00	OPEN
APR-20220020	2022-02-26	2022-02-26	1810801	1720.63	0.00	1720.63	OPEN
APR-20220019	2022-02-23	2022-02-23	1810801	4400.00	0.00	4400.00	OPEN
APR-20220018	2022-02-17	2022-02-17	1810801	1200.00	0.00	1200.00	OPEN
APR-20210137	2022-02-14	2022-02-14	1810801	134274.33	0.00	134274.33	OPEN
APR-20220016	2022-02-10	2022-02-10	1810801	14266.00	0.00	14266.00	OPEN
APR-20220021	2022-02-10	2022-02-10	1810801	42196.00	0.00	42196.00	OPEN
APR-20220022	2022-02-10	2022-02-10	1810801	42196.00	0.00	42196.00	OPEN
APR-20220012	2022-01-28	2022-01-28	1810801	42196.00	0.00	42196.00	OPEN
APR-20220011	2022-01-27	2022-01-27	1810801	42196.00	0.00	42196.00	OPEN
APR-20220014	2022-01-27	2022-01-27	1810801	419.86	0.00	419.86	OPEN
APR-20220010	2022-01-24	2022-01-24	1810801	3570.00	0.00	3570.00	OPEN
APR-20220015	2022-01-20	2022-01-20	1810801	357.00	0.00	357.00	OPEN
APR-20220008	2022-01-19	2022-01-19	1810801	107.28	0.00	107.28	OPEN
APR-20220005	2022-01-17	2022-01-17	1810801	5357.40	0.00	5357.40	OPEN
APR-20220006-TOOL	2022-01-17	2022-01-17	1810801	2309.04	0.00	2309.04	OPEN
APR-20220004	2022-01-11	2022-01-11	1810801	1659.00	0.00	1659.00	OPEN
APR-20220001	2022-01-06	2022-01-06	1810801	239.00	0.00	239.00	OPEN
APR-20220003	2022-01-06	2022-01-06	1810801	241.83	0.00	241.83	OPEN
APR-20210106	2022-01-01	2022-01-01	1810801	103.00	0.00	103.00	OPEN
APR-20210167	2021-12-27	2021-12-27	1810801	1560.00	0.00	1560.00	OPEN
APR-20210165	2021-12-21	2021-12-21	1810801	806.44	0.00	806.44	OPEN
APR-20210164	2021-12-18	2021-12-18	1810801	780.00	0.00	780.00	OPEN
APR-20210163	2021-12-17	2021-12-17	1810801	595.36	0.00	595.36	OPEN
APR-20210161	2021-12-10	2021-12-10	1810801	213.12	0.00	213.12	OPEN
APR-20210156	2021-12-06	2021-12-06	1810801	42196.00	0.00	42196.00	OPEN
APR-20210158	2021-12-03	2021-12-03	1810801	13167.00	0.00	13167.00	OPEN
APR-20210157	2021-12-02	2021-12-02	1810801	123.60	0.00	123.60	OPEN
APR-20210154	2021-11-29	2021-11-29	1810801	582.12	0.00	582.12	OPEN
APR-20210152	2021-11-25	2021-11-25	1810801	582.12	0.00	582.12	OPEN
APR-20210153	2021-11-25	2021-11-25	1810801	3284.89	0.00	3284.89	OPEN
APR-20210151	2021-11-22	2021-11-22	1810801	180.00	0.00	180.00	OPEN
APR-20210072	2021-11-19	2021-11-19	1810801	179296.36	0.00	179296.36	OPEN
APR-20210114	2021-11-18	2021-11-18	1810801	123064.87	0.00	123064.87	OPEN
APR-20210123	2021-11-18	2021-11-18	1810801	100975.02	0.00	100975.02	OPEN
APR-20210133	2021-11-18	2021-11-18	1810801	111470.62	0.00	111470.62	OPEN
APR-20210150	2021-11-16	2021-11-16	1810801	42196.00	0.00	42196.00	OPEN
APR-20210147	2021-11-04	2021-11-04	1810801	42196.00	0.00	42196.00	OPEN
APR-20210144	2021-10-30	2021-10-30	1810801	42196.00	0.00	42196.00	OPEN
APR-20210148	2021-10-26	2021-10-26	1810801	145703.61	0.00	145703.61	OPEN
APR-20210142-TOOL	2021-10-25	2021-10-25	1810801	4469.09	0.00	4469.09	OPEN
APR-20210143	2021-10-25	2021-10-25	1810801	687.96	0.00	687.96	OPEN
APR-20210108	2021-10-21	2021-10-21	1810801	172037.77	0.00	172037.77	OPEN
APR-20210141	2021-10-21	2021-10-21	1810801	1057.95	0.00	1057.95	OPEN
APR-20210074	2021-10-20	2021-10-20	1810801	360.00	0.00	360.00	OPEN
APR-20210139	2021-10-19	2021-10-19	1810801	378.00	0.00	378.00	OPEN
APR-20210138	2021-10-18	2021-10-18	1810801	127.50	0.00	127.50	OPEN
APR-20210116	2021-10-13	2021-10-13	1810801	125973.29	0.00	125973.29	OPEN
APR-20210056	2021-10-12	2021-10-12	1810801	3334.92	0.00	3334.92	OPEN
APR-20210095	2021-09-28	2021-09-28	1810801	141899.22	0.00	141899.22	OPEN
APR-20170011	2021-09-26	2021-09-26	1810801	93055.37	0.00	93055.37	OPEN
APR-20210130-TOOL	2021-09-22	2021-09-22	1810801	3200.00	0.00	3200.00	OPEN
APR-20210131-TOOL	2021-09-22	2021-09-22	1810801	2100.00	0.00	2100.00	OPEN
APR-20210132-TOOL	2021-09-22	2021-09-22	1810801	269.71	0.00	269.71	OPEN
APR-20210134	2021-09-22	2021-09-22	1810801	42196.00	0.00	42196.00	OPEN
APR-20210129	2021-09-16	2021-09-16	1810801	257.50	0.00	257.50	OPEN
APR-20210128-TOOL	2021-09-15	2021-09-15	1810801	3200.00	0.00	3200.00	OPEN
APR-20210125-TOOL	2021-09-13	2021-09-13	1810801	606.30	0.00	606.30	OPEN
APR-20210126-TOOL	2021-09-13	2021-09-13	1810801	5000.00	0.00	5000.00	OPEN
APR-20210124	2021-09-09	2021-09-09	1810801	380.00	0.00	380.00	OPEN
APR-20210127	2021-09-06	2021-09-06	1810801	41800.00	0.00	41800.00	OPEN
APR-20210119	2021-09-02	2021-09-02	1810801	23.04	0.00	23.04	OPEN
APR-20210120-TOOL	2021-09-02	2021-09-02	1810801	5739.83	0.00	5739.83	OPEN
APR-20210121	2021-09-02	2021-09-02	1810801	3015.88	0.00	3015.88	OPEN
APR-20210122	2021-09-02	2021-09-02	1810801	3015.88	0.00	3015.88	OPEN
APR-20210093	2021-09-01	2021-09-01	1810801	167408.19	0.00	167408.19	OPEN
APR-20210117	2021-09-01	2021-09-01	1810801	197.50	0.00	197.50	OPEN
APR-20210118	2021-09-01	2021-09-01	1810801	319.20	0.00	319.20	OPEN
APR-20210115	2021-08-23	2021-08-23	1810801	38685.24	0.00	38685.24	OPEN
APR-20210090	2021-08-17	2021-08-17	1810801	116762.38	0.00	116762.38	OPEN
APR-20210079	2021-08-16	2021-08-16	1810801	76780.14	0.00	76780.14	OPEN
APR-20210112	2021-08-16	2021-08-16	1810801	188.50	0.00	188.50	OPEN
APR-20210113-TOOL	2021-08-16	2021-08-16	1810801	26.00	0.00	26.00	OPEN
APR-20210111	2021-08-12	2021-08-12	1810801	38685.24	0.00	38685.24	OPEN
APR-20210078	2021-08-11	2021-08-11	1810801	163236.23	0.00	163236.23	OPEN
APR-20210109-TOOL	2021-08-11	2021-08-11	1810801	3300.00	0.00	3300.00	OPEN
APR-20210110-TOOL	2021-08-11	2021-08-11	1810801	4023.04	0.00	4023.04	OPEN
APR-20210107	2021-08-05	2021-08-05	1810801	19206.90	0.00	19206.90	OPEN
APR-20210105	2021-07-30	2021-07-30	1810801	38685.24	0.00	38685.24	OPEN
APR-20210103-TOOL	2021-07-27	2021-07-27	1810801	1500.00	0.00	1500.00	OPEN
APR-20210104-TOOL	2021-07-27	2021-07-27	1810801	1500.00	0.00	1500.00	OPEN
APR-20210102	2021-07-25	2021-07-25	1810801	38685.24	0.00	38685.24	OPEN
APR-20210101	2021-07-23	2021-07-23	1810801	3116.64	0.00	3116.64	OPEN
APR-20210100	2021-07-19	2021-07-19	1810801	357.60	0.00	357.60	OPEN
APR-20210099	2021-07-18	2021-07-18	1810801	152728.30	0.00	152728.30	OPEN
APR-20210096	2021-07-14	2021-07-14	1810801	38685.24	0.00	38685.24	OPEN
