billNo	billDate	dueDate	vendorId	amountCurrency	payments	openAmount	status
APR-20180104-TOOL	2020-12-01	2020-12-01	1810801	1200.00	0.00	1200.00	OPEN
APR-20180105-TOOL	2020-12-01	2020-12-01	1810801	1200.00	0.00	1200.00	OPEN
APR-20200006-TOOL	2020-12-01	2020-12-01	1810801	1850.00	0.00	1850.00	OPEN
APR-20200009-TOOL	2020-12-01	2020-12-01	1810801	900.00	0.00	900.00	OPEN
APR-20200010-TOOL	2020-12-01	2020-12-01	1810801	1650.00	0.00	1650.00	OPEN
APR-20200012-TOOL	2020-12-01	2020-12-01	1810801	1450.00	0.00	1450.00	OPEN
APR-20200038-TOOL	2020-12-01	2020-12-01	1810801	1450.00	0.00	1450.00	OPEN
APR-20200068-TOOL	2020-12-01	2020-12-01	1810801	2000.00	0.00	2000.00	OPEN
APR-202000106	2020-11-30	2020-11-30	1810801	287.39	0.00	287.39	OPEN
APR-20200105	2020-11-30	2020-11-30	1810801	400.00	0.00	400.00	OPEN
APR-20200104	2020-11-25	2020-11-25	1810801	352.00	0.00	352.00	OPEN
APR-20200103	2020-11-20	2020-11-20	1810801	1746.40	0.00	1746.40	OPEN
APR-202000102	2020-11-18	2020-11-18	1810801	150.00	0.00	150.00	OPEN
APR-20200098-TOOL	2020-11-18	2020-11-18	1810801	1650.00	0.00	1650.00	OPEN
APR-20200100	2020-11-16	2020-11-16	1810801	873.20	0.00	873.20	OPEN
APR-20200099	2020-11-15	2020-11-15	1810801	64654.07	0.00	64654.07	OPEN
APR-20200097	2020-11-11	2020-11-11	1810801	873.20	0.00	873.20	OPEN
APR-20200095-TOOL	2020-11-06	2020-11-06	1810801	1500.00	0.00	1500.00	OPEN
APR-20200096-TOOL	2020-11-06	2020-11-06	1810801	4150.96	0.00	4150.96	OPEN
APR-20200092	2020-10-30	2020-10-30	1810801	285.00	0.00	285.00	OPEN
APR-20200093	2020-10-30	2020-10-30	1810801	873.20	0.00	873.20	OPEN
APR-20200090	2020-10-24	2020-10-24	1810801	38685.24	0.00	38685.24	OPEN
APR-20200091	2020-10-22	2020-10-22	1810801	3601.50	0.00	3601.50	OPEN
APR-20200089	2020-10-20	2020-10-20	1810801	847.90	0.00	847.90	OPEN
APR-20200088	2020-10-16	2020-10-16	1810801	131600.67	0.00	131600.67	OPEN
APR_20200087	2020-10-05	2020-10-05	1810801	260.00	0.00	260.00	OPEN
APR-20200085	2020-10-02	2020-10-02	1810801	313.50	0.00	313.50	OPEN
APR-20200086	2020-10-02	2020-10-02	1810801	313.50	0.00	313.50	OPEN
APR-20200084	2020-09-29	2020-09-29	1810801	38685.24	0.00	38685.24	OPEN
APR-20200082	2020-09-22	2020-09-22	1810801	113013.61	0.00	113013.61	OPEN
APR-20200083	2020-09-22	2020-09-22	1810801	480.20	0.00	480.20	OPEN
APR-20200079	2020-09-16	2020-09-16	1810801	38685.24	0.00	38685.24	OPEN
APR-20200080-1-TOOL	2020-09-14	2020-09-14	1810801	1850.00	0.00	1850.00	OPEN
APR-20200081	2020-09-14	2020-09-14	1810801	1350.35	0.00	1350.35	OPEN
APR-20200077	2020-09-08	2020-09-08	1810801	90432.20	0.00	90432.20	OPEN
APR-20200076	2020-09-03	2020-09-03	1810801	620.32	0.00	620.32	OPEN
APR-20200075	2020-09-02	2020-09-02	1810801	125.00	0.00	125.00	OPEN
APR-20200078	2020-09-02	2020-09-02	1810801	237.65	0.00	237.65	OPEN
APR-20200066	2020-08-27	2020-08-27	1810801	59064.10	0.00	59064.10	OPEN
APR-20200074	2020-08-26	2020-08-26	1810801	38685.24	0.00	38685.24	OPEN
APR-20200073	2020-08-14	2020-08-14	1810801	110.00	0.00	110.00	OPEN
APR-20200071	2020-08-10	2020-08-10	1810801	38685.24	0.00	38685.24	OPEN
APR-20200070	2020-08-04	2020-08-04	1810801	53731.28	0.00	53731.28	OPEN
APR-20200072	2020-08-04	2020-08-04	1810801	55882.54	0.00	55882.54	OPEN
APR-20200069	2020-07-27	2020-07-27	1810801	38684.71	0.00	38684.71	OPEN
APR-20200067	2020-07-18	2020-07-18	1810801	51832.94	0.00	51832.94	OPEN
APR-202000064	2020-07-13	2020-07-13	1810801	38685.77	0.00	38685.77	OPEN
APR-20200065	2020-07-10	2020-07-10	1810801	1350.00	0.00	1350.00	OPEN
APR-20200063	2020-07-08	2020-07-08	1810801	38685.77	0.00	38685.77	OPEN
APR-20200062-TOOL	2020-07-01	2020-07-01	1810801	1650.00	0.00	1650.00	OPEN
APR-20200060	2020-06-18	2020-06-18	1810801	25456.75	0.00	25456.75	OPEN
APR-20200061	2020-06-18	2020-06-18	1810801	500.00	0.00	500.00	OPEN
APR-20200058	2020-06-17	2020-06-17	1810801	342.00	0.00	342.00	OPEN
APR-20200059	2020-06-02	2020-06-02	1810801	59665.07	0.00	59665.07	OPEN
APR-20200057	2020-05-21	2020-05-21	1810801	352.00	0.00	352.00	OPEN
APR-20200055	2020-05-20	2020-05-20	1810801	900.00	0.00	900.00	OPEN
APR-20200056	2020-05-20	2020-05-20	1810801	1800.00	0.00	1800.00	OPEN
APR-20200054	2020-05-19	2020-05-19	1810801	295.00	0.00	295.00	OPEN
APR-20200053	2020-05-18	2020-05-18	1810801	1842.40	0.00	1842.40	OPEN
APR-20200052	2020-05-15	2020-05-15	1810801	235.20	0.00	235.20	OPEN
APR-20200051	2020-05-06	2020-05-06	1810801	117.60	0.00	117.60	OPEN
APR-20200050	2020-05-04	2020-05-04	1810801	61631.45	0.00	61631.45	OPEN
APR-20200048	2020-04-30	2020-04-30	1810801	642.60	0.00	642.60	OPEN
APR-20200049	2020-04-30	2020-04-30	1810801	88.00	0.00	88.00	OPEN
APR-20200046	2020-04-22	2020-04-22	1810801	417.50	0.00	417.50	OPEN
APR-20200047	2020-04-22	2020-04-22	1810801	431.50	0.00	431.50	OPEN
APR-20200045	2020-04-18	2020-04-18	1810801	75573.31	0.00	75573.31	OPEN
APR-20200042	2020-04-08	2020-04-08	1810801	38685.77	0.00	38685.77	OPEN
APR-20200041	2020-04-04	2020-04-04	1810801	64230.77	0.00	64230.77	OPEN
APR-20200043	2020-04-03	2020-04-03	1810801	216.00	0.00	216.00	OPEN
APR-20200040	2020-03-28	2020-03-28	1810801	96773.11	0.00	96773.11	OPEN
APR-20200039	2020-03-24	2020-03-24	1810801	124591.39	0.00	124591.39	OPEN
7682	2020-03-23	2020-03-23	1810801	892.50	0.00	892.50	OPEN
APR-20200017	2020-03-22	2020-03-22	1810801	1450.00	0.00	1450.00	OPEN
APR-20200036	2020-03-14	2020-03-14	1810801	137972.60	0.00	137972.60	OPEN
APR-20200037	2020-03-11	2020-03-11	1810801	3528.00	0.00	3528.00	OPEN
APR-20200035	2020-03-10	2020-03-10	1810801	91.63	0.00	91.63	OPEN
APR-20200032	2020-03-09	2020-03-09	1810801	60551.05	0.00	60551.05	OPEN
APR-20200033	2020-03-06	2020-03-06	1810801	32.00	0.00	32.00	OPEN
APR-20200031	2020-03-04	2020-03-04	1810801	4795.00	0.00	4795.00	OPEN
APR-20200030	2020-03-03	2020-03-03	1810801	500.00	0.00	500.00	OPEN
APR-20200026	2020-02-29	2020-02-29	1810801	29966.85	0.00	29966.85	OPEN
APR-20200027	2020-02-29	2020-02-29	1810801	71.50	0.00	71.50	OPEN
APR-20200028-TOOL	2020-02-29	2020-02-29	1810801	1000.00	0.00	1000.00	OPEN
APR-20200029-TOOL	2020-02-29	2020-02-29	1810801	1000.00	0.00	1000.00	OPEN
APR-20200023	2020-02-27	2020-02-27	1810801	38685.77	0.00	38685.77	OPEN
APR-20200025	2020-02-26	2020-02-26	1810801	750.00	0.00	750.00	OPEN
APR-20200024	2020-02-25	2020-02-25	1810801	235.00	0.00	235.00	OPEN
APR-20200020-TOOL	2020-02-24	2020-02-24	1810801	1500.00	0.00	1500.00	OPEN
APR-20200021-TOOL	2020-02-24	2020-02-24	1810801	1750.00	0.00	1750.00	OPEN
APR-20200022	2020-02-24	2020-02-24	1810801	25.13	0.00	25.13	OPEN
APR-20200015	2020-02-22	2020-02-22	1810801	109080.84	0.00	109080.84	OPEN
APR-20200019	2020-02-22	2020-02-22	1810801	2500.00	0.00	2500.00	OPEN
APR-20200014	2020-02-17	2020-02-17	1810801	819.00	0.00	819.00	OPEN
APR-20190076 202000016	2020-02-11	2020-02-11	1810801	1800.00	0.00	1800.00	OPEN
APR-20200013	2020-02-08	2020-02-08	1810801	1530.00	0.00	1530.00	OPEN
APR-20200011	2020-01-21	2020-01-21	1810801	650.00	0.00	650.00	OPEN
APR-20200008	2020-01-18	2020-01-18	1810801	3511.20	0.00	3511.20	OPEN
APR-20200007	2020-01-17	2020-01-17	1810801	600.00	0.00	600.00	OPEN
APR-20200004	2020-01-16	2020-01-16	1810801	93129.69	0.00	93129.69	OPEN
APR-20200005	2020-01-14	2020-01-14	1810801	3708.86	0.00	3708.86	OPEN
APR-20200003	2020-01-13	2020-01-13	1810801	128384.77	0.00	128384.77	OPEN
APR-20200002	2020-01-08	2020-01-08	1810801	38661.48	0.00	38661.48	OPEN
APR-20200002-1	2020-01-08	2020-01-08	1810801	396.00	0.00	396.00	OPEN
APR-20200001	2020-01-02	2020-01-02	1810801	1909.50	0.00	1909.50	OPEN
APR-20190080	2019-12-25	2019-12-25	1810801	2304.00	0.00	2304.00	OPEN
APR-20190079	2019-12-23	2019-12-23	1810801	38661.48	0.00	38661.48	OPEN
APR-20190077	2019-12-21	2019-12-21	1810801	127781.23	0.00	127781.23	OPEN
APR-210190078	2019-12-20	2019-12-20	1810801	91.00	0.00	91.00	OPEN
APR-20190060	2019-12-11	2019-12-11	1810801	41666.60	0.00	41666.60	OPEN
APR-20190074	2019-12-11	2019-12-11	1810801	3150.00	0.00	3150.00	OPEN
APR-20190075	2019-12-11	2019-12-11	1810801	3150.00	0.00	3150.00	OPEN
APR-20190059	2019-12-07	2019-12-07	1810801	165.00	0.00	165.00	OPEN
APR-20190071	2019-12-07	2019-12-07	1810801	42063.51	0.00	42063.51	OPEN
APR-20190073	2019-12-07	2019-12-07	1810801	102737.74	0.00	102737.74	OPEN
APR-20190072	2019-12-04	2019-12-04	1810801	1899.75	0.00	1899.75	OPEN
APR-20190070	2019-12-02	2019-12-02	1810801	105.95	0.00	105.95	OPEN
APR-20190069A	2019-11-25	2019-11-25	1810801	132370.55	0.00	132370.55	OPEN
APR-20190069B	2019-11-25	2019-11-25	1810801	98692.81	0.00	98692.81	OPEN
APR-20190068	2019-11-21	2019-11-21	1810801	1020.00	0.00	1020.00	OPEN
APR20190067	2019-11-20	2019-11-20	1810801	288.00	0.00	288.00	OPEN
APR-20190063-TOOL	2019-11-18	2019-11-18	1810801	566.00	0.00	566.00	OPEN
APR-20190064-TOOL	2019-11-18	2019-11-18	1810801	2500.00	0.00	2500.00	OPEN
APR-20190065-TOOL	2019-11-18	2019-11-18	1810801	2800.00	0.00	2800.00	OPEN
APR-20190066	2019-11-18	2019-11-18	1810801	321.30	0.00	321.30	OPEN
APR-20190062	2019-11-15	2019-11-15	1810801	2064.72	0.00	2064.72	OPEN
APR-20190061	2019-11-11	2019-11-11	1810801	235.00	0.00	235.00	OPEN
APR-20190058	2019-11-06	2019-11-06	1810801	51.94	0.00	51.94	OPEN
APR-20190057	2019-11-04	2019-11-04	1810801	2200.00	0.00	2200.00	OPEN
APR-20190056	2019-10-23	2019-10-23	1810801	109298.19	0.00	109298.19	OPEN
APR-20190054	2019-10-17	2019-10-17	1810801	2050.00	0.00	2050.00	OPEN
APR-20190055	2019-10-17	2019-10-17	1810801	1800.00	0.00	1800.00	OPEN
APR-20190053	2019-10-12	2019-10-12	1810801	51.94	0.00	51.94	OPEN
APR-20190051	2019-10-08	2019-10-08	1810801	500.00	0.00	500.00	OPEN
APR-20190052	2019-10-08	2019-10-08	1810801	500.00	0.00	500.00	OPEN
APR-20190050	2019-10-05	2019-10-05	1810801	88265.21	0.00	88265.21	OPEN
APR-20190048.	2019-09-28	2019-09-28	1810801	904.40	0.00	904.40	OPEN
APR-20190049	2019-09-28	2019-09-28	1810801	4129.44	0.00	4129.44	OPEN
APR-20190047	2019-09-27	2019-09-27	1810801	2250.00	0.00	2250.00	OPEN
APR-20190046	2019-09-24	2019-09-24	1810801	904.40	0.00	904.40	OPEN
APR-20190044	2019-09-21	2019-09-21	1810801	106010.97	0.00	106010.97	OPEN
APR-20190045	2019-09-18	2019-09-18	1810801	27.22	0.00	27.22	OPEN
APR-20190043	2019-08-31	2019-08-31	1810801	110007.45	0.00	110007.45	OPEN
APR-20190042	2019-08-24	2019-08-24	1810801	295.00	0.00	295.00	OPEN
APR-20190042-T	2019-08-24	2019-08-24	1810801	1050.00	0.00	1050.00	OPEN
APR-20190041	2019-08-20	2019-08-20	1810801	70.00	0.00	70.00	OPEN
APR-20190039A	2019-08-17	2019-08-17	1810801	96309.97	0.00	96309.97	OPEN
APR-20190039B	2019-08-17	2019-08-17	1810801	23902.82	0.00	23902.82	OPEN
APR-20190040	2019-08-16	2019-08-16	1810801	50.00	0.00	50.00	OPEN
APR-20190037	2019-08-03	2019-08-03	1810801	120294.83	0.00	120294.83	OPEN
APR-20190038	2019-08-02	2019-08-02	1810801	2800.00	0.00	2800.00	OPEN
APR-20190036	2019-07-22	2019-07-22	1810801	1510.27	0.00	1510.27	OPEN
APR-20190035	2019-07-15	2019-07-15	1810801	116468.88	0.00	116468.88	OPEN
APR-20190034	2019-07-05	2019-07-05	1810801	27550.91	0.00	27550.91	OPEN
APR-20190025	2019-07-02	2019-07-02	1810801	1450.00	0.00	1450.00	OPEN
APR-20190026	2019-07-02	2019-07-02	1810801	1320.00	0.00	1320.00	OPEN
APR-20190033	2019-06-27	2019-06-27	1810801	97805.14	0.00	97805.14	OPEN
APR-20190031	2019-06-20	2019-06-20	1810801	104526.61	0.00	104526.61	OPEN
APR-20190028	2019-06-17	2019-06-17	1810801	1207.92	0.00	1207.92	OPEN
APR-20190029	2019-06-17	2019-06-17	1810801	1410.89	0.00	1410.89	OPEN
APR-20190030	2019-06-17	2019-06-17	1810801	1012.54	0.00	1012.54	OPEN
APR-20190032	2019-06-17	2019-06-17	1810801	1300.00	0.00	1300.00	OPEN
APR-20190027	2019-06-14	2019-06-14	1810801	1296.00	0.00	1296.00	OPEN
APR-20190024	2019-06-03	2019-06-03	1810801	152281.26	0.00	152281.26	OPEN
APR-20190023	2019-05-25	2019-05-25	1810801	210.00	0.00	210.00	OPEN
APR-20190022	2019-05-21	2019-05-21	1810801	1100.00	0.00	1100.00	OPEN
APR-20190020	2019-05-16	2019-05-16	1810801	121038.55	0.00	121038.55	OPEN
APR-20190021	2019-05-14	2019-05-14	1810801	117.50	0.00	117.50	OPEN
APR-20190019	2019-05-09	2019-05-09	1810801	122267.97	0.00	122267.97	OPEN
APR-20190018	2019-04-25	2019-04-25	1810801	1800.00	0.00	1800.00	OPEN
apr-20190017	2019-04-24	2019-04-24	1810801	280.00	0.00	280.00	OPEN
APR-20190016	2019-04-20	2019-04-20	1810801	106346.82	0.00	106346.82	OPEN
APR-20190015	2019-04-16	2019-04-16	1810801	15.40	0.00	15.40	OPEN
APR-20190013	2019-04-06	2019-04-06	1810801	112811.30	0.00	112811.30	OPEN
APR-20190014	2019-04-04	2019-04-04	1810801	510.00	0.00	510.00	OPEN
APR-20190012	2019-03-21	2019-03-21	1810801	77878.65	0.00	77878.65	OPEN
APR-20190011	2019-03-16	2019-03-16	1810801	99020.76	0.00	99020.76	OPEN
APR-20190010	2019-03-11	2019-03-11	1810801	102.90	0.00	102.90	OPEN
APR-20190009	2019-03-09	2019-03-09	1810801	115093.38	0.00	115093.38	OPEN
APR-20190008	2019-02-28	2019-02-28	1810801	306.00	0.00	306.00	OPEN
APR-20190007	2019-02-23	2019-02-23	1810801	126181.13	0.00	126181.13	OPEN
APR-20190005	2019-01-29	2019-01-29	1810801	189.20	0.00	189.20	OPEN
APR-20190006	2019-01-29	2019-01-29	1810801	2310.54	0.00	2310.54	OPEN
APR-20190004	2019-01-28	2019-01-28	1810801	94171.78	0.00	94171.78	OPEN
APR-201900003A	2019-01-19	2019-01-19	1810801	120653.36	0.00	120653.36	OPEN
APR-20190002	2019-01-12	2019-01-12	1810801	378.40	0.00	378.40	OPEN
APR-20190001	2019-01-04	2019-01-04	1810801	55.00	0.00	55.00	OPEN
APR-20180144A	2018-12-31	2018-12-31	1810801	97223.60	0.00	97223.60	OPEN
APR-20180144B	2018-12-31	2018-12-31	1810801	30559.20	0.00	30559.20	OPEN
APR-20180142	2018-12-21	2018-12-21	1810801	1880.00	0.00	1880.00	OPEN
APR-20180143	2018-12-21	2018-12-21	1810801	79.38	0.00	79.38	OPEN
APR-20180141A	2018-12-15	2018-12-15	1810801	93160.54	0.00	93160.54	OPEN
APR-20180141B	2018-12-15	2018-12-15	1810801	155127.50	0.00	155127.50	OPEN
APR-20180138	2018-12-13	2018-12-13	1810801	1000.00	0.00	1000.00	OPEN
APR-20180139A	2018-12-06	2018-12-06	1810801	79658.42	0.00	79658.42	OPEN
APR-20180139B	2018-12-06	2018-12-06	1810801	146246.25	0.00	146246.25	OPEN
APR-20180109	2018-11-29	2018-11-29	1810801	5107.70	0.00	5107.70	OPEN
APR-20180136	2018-11-28	2018-11-28	1810801	189.00	0.00	189.00	OPEN
APR-20180133	2018-11-27	2018-11-27	1810801	986.05	0.00	986.05	OPEN
APR-20180134	2018-11-27	2018-11-27	1810801	643.50	0.00	643.50	OPEN
APR-20180135	2018-11-27	2018-11-27	1810801	844.00	0.00	844.00	OPEN
APR-20180131	2018-11-10	2018-11-10	1810801	681.00	0.00	681.00	OPEN
APR-20180127	2018-11-07	2018-11-07	1810801	1115.44	0.00	1115.44	OPEN
APR-20180128A	2018-11-06	2018-11-06	1810801	108298.18	0.00	108298.18	OPEN
APR-20180128B	2018-11-06	2018-11-06	1810801	136106.19	0.00	136106.19	OPEN
APR-20180130	2018-11-06	2018-11-06	1810801	490.00	0.00	490.00	OPEN
APR-20180124	2018-11-05	2018-11-05	1810801	220.32	0.00	220.32	OPEN
APR-20180125	2018-10-30	2018-10-30	1810801	958.00	0.00	958.00	OPEN
APR- 20180122	2018-10-22	2018-10-22	1810801	160.00	0.00	160.00	OPEN
APR-20180123	2018-10-22	2018-10-22	1810801	400.00	0.00	400.00	OPEN
APR-20180121	2018-10-18	2018-10-18	1810801	122521.90	0.00	122521.90	OPEN
APR-20180120	2018-10-16	2018-10-16	1810801	66.00	0.00	66.00	OPEN
APR-20180119	2018-10-12	2018-10-12	1810801	126.00	0.00	126.00	OPEN
APR-20180093	2018-10-10	2018-10-10	1810801	383.10	0.00	383.10	OPEN
APR-20180117	2018-10-08	2018-10-08	1810801	2064.50	0.00	2064.50	OPEN
APR-20180116	2018-10-06	2018-10-06	1810801	567.60	0.00	567.60	OPEN
APR-20180114A	2018-09-29	2018-09-29	1810801	102293.33	0.00	102293.33	OPEN
APR-2018114B	2018-09-29	2018-09-29	1810801	125629.40	0.00	125629.40	OPEN
APR-20180112	2018-09-21	2018-09-21	1810801	750.00	0.00	750.00	OPEN
APR-20180113	2018-09-21	2018-09-21	1810801	1618.50	0.00	1618.50	OPEN
APR-20180108A-1	2018-09-15	2018-09-15	1810801	92741.31	0.00	92741.31	OPEN
APR-20180108B	2018-09-15	2018-09-15	1810801	101108.67	0.00	101108.67	OPEN
APR-20180085	2018-09-05	2018-09-05	1810801	98686.49	0.00	98686.49	OPEN
APR-20180102	2018-09-04	2018-09-04	1810801	50.00	0.00	50.00	OPEN
APR-20180099A	2018-09-01	2018-09-01	1810801	126144.00	0.00	126144.00	OPEN
APR-20180099B	2018-09-01	2018-09-01	1810801	22833.34	0.00	22833.34	OPEN
APR-20180100	2018-09-01	2018-09-01	1810801	235.20	0.00	235.20	OPEN
APR-20180054	2018-08-29	2018-08-29	1810801	491.33	0.00	491.33	OPEN
APR-20180098	2018-08-28	2018-08-28	1810801	583.10	0.00	583.10	OPEN
APR-20180097	2018-08-25	2018-08-25	1810801	182.00	0.00	182.00	OPEN
APR-20180092	2018-08-11	2018-08-11	1810801	119986.22	0.00	119986.22	OPEN
APR-20180090	2018-08-06	2018-08-06	1810801	89415.75	0.00	89415.75	OPEN
APR-20180091	2018-08-04	2018-08-04	1810801	655.00	0.00	655.00	OPEN
APR-20180089	2018-07-25	2018-07-25	1810801	372.00	0.00	372.00	OPEN
APR-20180086	2018-07-24	2018-07-24	1810801	1396.50	0.00	1396.50	OPEN
APR-20180088	2018-07-21	2018-07-21	1810801	50.00	0.00	50.00	OPEN
APR-20180087	2018-07-18	2018-07-18	1810801	583.10	0.00	583.10	OPEN
APR-20180083	2018-07-06	2018-07-06	1810801	3045.00	0.00	3045.00	OPEN
APR-20180080	2018-07-04	2018-07-04	1810801	1000.00	0.00	1000.00	OPEN
APR-20180081	2018-07-04	2018-07-04	1810801	4090.00	0.00	4090.00	OPEN
APR-20180082	2018-07-04	2018-07-04	1810801	4090.00	0.00	4090.00	OPEN
APR-20180075A	2018-06-30	2018-06-30	1810801	70364.37	0.00	70364.37	OPEN
APR-20180075B	2018-06-30	2018-06-30	1810801	119297.19	0.00	119297.19	OPEN
APR-20180078	2018-06-29	2018-06-29	1810801	583.10	0.00	583.10	OPEN
APR-20180077	2018-06-28	2018-06-28	1810801	700.00	0.00	700.00	OPEN
APR-20180076	2018-06-27	2018-06-27	1810801	1053.70	0.00	1053.70	OPEN
APR-20180072	2018-06-26	2018-06-26	1810801	4054.00	0.00	4054.00	OPEN
APR-20180073	2018-06-26	2018-06-26	1810801	1945.00	0.00	1945.00	OPEN
APR-20180074	2018-06-26	2018-06-26	1810801	4054.00	0.00	4054.00	OPEN
APR-20180071	2018-06-25	2018-06-25	1810801	291.55	0.00	291.55	OPEN
APR-20180067	2018-06-21	2018-06-21	1810801	2200.00	0.00	2200.00	OPEN
APR-20180070	2018-06-17	2018-06-17	1810801	583.10	0.00	583.10	OPEN
APR-20180069	2018-06-16	2018-06-16	1810801	76462.21	0.00	76462.21	OPEN
APR-20180068	2018-06-09	2018-06-09	1810801	164.68	0.00	164.68	OPEN
APR-20180066	2018-06-07	2018-06-07	1810801	114133.39	0.00	114133.39	OPEN
APR-20180066B	2018-06-07	2018-06-07	1810801	26605.76	0.00	26605.76	OPEN
APR-20180064	2018-06-04	2018-06-04	1810801	484.00	0.00	484.00	OPEN
APR-20180065	2018-06-04	2018-06-04	1810801	441.00	0.00	441.00	OPEN
APR-20180060A	2018-05-31	2018-05-31	1810801	112751.59	0.00	112751.59	OPEN
APR-20180060B	2018-05-31	2018-05-31	1810801	12566.95	0.00	12566.95	OPEN
APR-20180062	2018-05-30	2018-05-30	1810801	1900.00	0.00	1900.00	OPEN
APR-20180057	2018-05-29	2018-05-29	1810801	1312.60	0.00	1312.60	OPEN
APR-20180061	2018-05-29	2018-05-29	1810801	1063.10	0.00	1063.10	OPEN
APR-20180059	2018-05-28	2018-05-28	1810801	793.80	0.00	793.80	OPEN
APR-20180058	2018-05-26	2018-05-26	1810801	1470.40	0.00	1470.40	OPEN
APR-20180056	2018-05-21	2018-05-21	1810801	92254.07	0.00	92254.07	OPEN
APR-20180055	2018-05-17	2018-05-17	1810801	2709.00	0.00	2709.00	OPEN
APR-20180053	2018-05-14	2018-05-14	1810801	1280.00	0.00	1280.00	OPEN
APR-20180047	2018-05-11	2018-05-11	1810801	136592.55	0.00	136592.55	OPEN
APR-20180047-1	2018-05-11	2018-05-11	1810801	108.40	0.00	108.40	OPEN
APR-20180050	2018-05-11	2018-05-11	1810801	599.76	0.00	599.76	OPEN
APR-20180051	2018-05-11	2018-05-11	1810801	412.00	0.00	412.00	OPEN
APR-20180049	2018-05-09	2018-05-09	1810801	699.72	0.00	699.72	OPEN
APR-20180036	2018-05-06	2018-05-06	1810801	539.00	0.00	539.00	OPEN
APR-20180046	2018-05-05	2018-05-05	1810801	399.84	0.00	399.84	OPEN
APR-20180043	2018-05-04	2018-05-04	1810801	112306.79	0.00	112306.79	OPEN
APR-20180045	2018-05-04	2018-05-04	1810801	940.00	0.00	940.00	OPEN
APR-20180044	2018-05-03	2018-05-03	1810801	273.00	0.00	273.00	OPEN
APR-20180042	2018-04-28	2018-04-28	1810801	1236.00	0.00	1236.00	OPEN
APR-20180039	2018-04-27	2018-04-27	1810801	800.00	0.00	800.00	OPEN
APR-20180040	2018-04-27	2018-04-27	1810801	1575.00	0.00	1575.00	OPEN
APR-20180041	2018-04-27	2018-04-27	1810801	1500.00	0.00	1500.00	OPEN
APR-20180035	2018-04-23	2018-04-23	1810801	102644.09	0.00	102644.09	OPEN
APR-20180037	2018-04-23	2018-04-23	1810801	2000.00	0.00	2000.00	OPEN
APR-20180038	2018-04-23	2018-04-23	1810801	788.93	0.00	788.93	OPEN
APR-20180028	2018-04-16	2018-04-16	1810801	119959.46	0.00	119959.46	OPEN
APR-20180031	2018-04-16	2018-04-16	1810801	1522.50	0.00	1522.50	OPEN
APR-20180032	2018-04-16	2018-04-16	1810801	1522.50	0.00	1522.50	OPEN
APR-20180030	2018-04-13	2018-04-13	1810801	137.00	0.00	137.00	OPEN
APR-20180021	2018-04-12	2018-04-12	1810801	142.25	0.00	142.25	OPEN
APR-20180029	2018-04-12	2018-04-12	1810801	1512.00	0.00	1512.00	OPEN
APR-20180034	2018-04-12	2018-04-12	1810801	200.00	0.00	200.00	OPEN
APR-20180026	2018-04-06	2018-04-06	1810801	109528.03	0.00	109528.03	OPEN
2501	2018-04-04	2018-04-04	1810801	750.00	0.00	750.00	OPEN
APR-201780025	2018-04-02	2018-04-02	1810801	382.50	0.00	382.50	OPEN
APR-20180024	2018-03-27	2018-03-27	1810801	117.60	0.00	117.60	OPEN
APR-20180023	2018-03-26	2018-03-26	1810801	3850.00	0.00	3850.00	OPEN
APR-20180001	2018-03-23	2018-03-23	1810801	108935.32	0.00	108935.32	OPEN
APR-20180020	2018-03-23	2018-03-23	1810801	106309.86	0.00	106309.86	OPEN
APR-20170104	2018-03-21	2018-03-21	1810801	11.79	0.00	11.79	OPEN
APR-20180019	2018-03-16	2018-03-16	1810801	2023.35	0.00	2023.35	OPEN
APR-20180018	2018-03-14	2018-03-14	1810801	220.00	0.00	220.00	OPEN
APR-20180017	2018-03-09	2018-03-09	1810801	92565.11	0.00	92565.11	OPEN
APR-20180016	2018-03-06	2018-03-06	1810801	115.00	0.00	115.00	OPEN
APR-20180015	2018-03-05	2018-03-05	1810801	156.80	0.00	156.80	OPEN
APR-20180006	2018-03-02	2018-03-02	1810801	5313.00	0.00	5313.00	OPEN
APR-20170107	2018-02-28	2018-02-28	1810801	756.00	0.00	756.00	OPEN
APR-20180014	2018-02-26	2018-02-26	1810801	57.54	0.00	57.54	OPEN
APR-20180007	2018-02-23	2018-02-23	1810801	120.68	0.00	120.68	OPEN
APR-20180013A	2018-02-17	2018-02-17	1810801	70394.62	0.00	70394.62	OPEN
APR-20180013B	2018-02-17	2018-02-17	1810801	153574.36	0.00	153574.36	OPEN
APR-200180011	2018-02-10	2018-02-10	1810801	4000.00	0.00	4000.00	OPEN
APR-20180010	2018-02-10	2018-02-10	1810801	2500.00	0.00	2500.00	OPEN
APR-20180012	2018-02-10	2018-02-10	1810801	4000.00	0.00	4000.00	OPEN
APR-20180009	2018-02-08	2018-02-08	1810801	940.00	0.00	940.00	OPEN
APR-20170100	2018-01-30	2018-01-30	1810801	118581.74	0.00	118581.74	OPEN
APR-20180008	2018-01-26	2018-01-26	1810801	113174.95	0.00	113174.95	OPEN
APR-20180005	2018-01-18	2018-01-18	1810801	373.50	0.00	373.50	OPEN
APR-20180004	2018-01-17	2018-01-17	1810801	106839.83	0.00	106839.83	OPEN
APR-20180002	2018-01-05	2018-01-05	1810801	1250.00	0.00	1250.00	OPEN
