date,amt_by_transdate,amt_by_recorddate
2026-03-02,-117124.53999999998,
2026-03-03,-42725.78999999999,
2026-03-04,-28236.59,
2026-03-05,-41464.07,
2026-03-06,-73216.74999999999,
2026-03-09,-19015.98,
2026-03-11,-6653.03,
2026-03-12,-4864.2,
2026-03-13,-8188.509999999999,
2026-03-16,-101837.82000000002,
2026-03-17,-57074.22,
2026-03-18,-22865.03,
2026-03-19,-63595.109999999986,
2026-03-20,-46836.42000000001,
2026-03-23,-30075.44999999999,
2026-03-24,-78310.25000000004,
2026-03-25,-25443.789999999986,
2026-03-26,-154914.16999999998,
2026-03-27,-97541.23000000003,
2026-03-30,-81790.41,
2026-03-31,-28063.48,
2026-04-01,,-1129836.8399999994
