trans_date_utc,trans_num,drcr,signed_amount,description,ref
2026-02-24T00:00:00.000Z,669792,,238645.12,,LOC
2026-02-06T00:00:00.000Z,667083,,201627.92,,ARP  782959
2026-02-06T00:00:00.000Z,667270,,-192332.34,,LOC
2026-02-13T00:00:00.000Z,668092,,180791.55,,ARP  784012
2026-02-24T00:00:00.000Z,669794,,-172249.24,,APP 9881302
2026-02-27T00:00:00.000Z,670248,,169218.91,,ARP  786483
2026-02-20T00:00:00.000Z,669099,,163899.08,,ARP  785209
2026-02-12T00:00:00.000Z,668006,,-126200.17,,LOC
2026-02-12T00:00:00.000Z,667982,,112828.71,,ARP  57248
2026-02-13T00:00:00.000Z,668244,,-110011.78,,LOC
2026-02-27T00:00:00.000Z,670152,,-79129.75,,APP 1850001
2026-02-26T00:00:00.000Z,670579,,-67859.68,,LOC
2026-02-20T00:00:00.000Z,669282,,-66682.42,,LOC
2026-02-26T00:00:00.000Z,670210,,59628.88,,ARP  2001076122
2026-02-10T00:00:00.000Z,667707,,59164.35,,LOC
2026-02-20T00:00:00.000Z,669020,,-55634.4,,APP 1966101
2026-02-04T00:00:00.000Z,666800,,-53664.83,,LOC
2026-02-27T00:00:00.000Z,670586,,53598.36,,LOC
2026-02-06T00:00:00.000Z,666972,,-49858.8,,APP 1049001
2026-02-17T00:00:00.000Z,668707,,43955.05,,LOC
