cust,cust_name,inv_num,inv_date,due_date,currency,inv_amount,paid_total,balance
1319903,"",202304256,2023-12-11,2023-12-26,USD,50971.20,0.00,50971.20
1822501,"",202303387,2023-10-06,2023-12-05,USD,50944.32,0.00,50944.32
1319905,"",202304490,2023-12-20,2024-01-04,USD,50880.27,0.00,50880.27
1319905,"",202304282,2023-12-11,2023-12-26,USD,50880.27,0.00,50880.27
1011301,"",202304495,2023-12-21,2024-02-19,USD,50836.80,0.00,50836.80
1456501,"",202303519,2023-10-18,2024-01-16,USD,49835.52,0.00,49835.52
1456501,"",202303379,2023-10-05,2024-01-03,USD,49835.52,0.00,49835.52
1456501,"",202303304,2023-10-02,2023-12-31,USD,49835.52,0.00,49835.52
1456501,"",202303129,2023-09-18,2023-12-17,USD,49835.52,0.00,49835.52
1822501,"",202304366,2023-12-15,2024-02-13,USD,48888.00,0.00,48888.00
1577102,"",202303506,2023-10-16,2024-01-14,USD,48842.64,0.00,48842.64
1275203,"",202303655,2023-10-30,2024-01-28,USD,48437.76,0.00,48437.76
1275203,"",202303420,2023-10-09,2024-01-07,USD,48437.76,0.00,48437.76
1820701,"",202303892,2023-11-17,2024-01-01,USD,48300.00,0.00,48300.00
1822501,"",202303973,2023-11-22,2024-01-21,USD,47817.00,0.00,47817.00
1319905,"",202304197,2023-12-07,2023-12-22,USD,47628.00,0.00,47628.00
1283301,"",202303996,2023-11-27,2023-12-27,USD,47178.18,0.00,47178.18
1520804,"",202304253,2023-12-11,2024-02-09,USD,46714.50,0.00,46714.50
1319905,"",202304280,2023-12-11,2023-12-26,USD,46096.68,0.00,46096.68
1319905,"",202304243,2023-12-08,2023-12-23,USD,46096.68,0.00,46096.68
1577106,"",202303236,2023-09-26,2023-12-25,USD,45802.68,0.00,45802.68
1822501,"",202303730,2023-11-03,2024-01-02,USD,45423.00,0.00,45423.00
1738501,"",202303510,2023-10-16,2024-01-14,USD,44625.00,0.00,44625.00
1738507,"",202304220,2023-12-08,2024-01-22,USD,44570.40,0.00,44570.40
1577118,"",202304441,2023-12-19,2024-03-18,USD,43835.40,0.00,43835.40
1520804,"",202304108,2023-12-04,2024-02-02,USD,42977.34,0.00,42977.34
1319905,"",202304488,2023-12-20,2024-01-04,USD,42536.76,0.00,42536.76
1319905,"",202304460,2023-12-19,2024-01-03,USD,42536.76,0.00,42536.76
1822501,"",202304219,2023-12-08,2024-02-06,USD,42402.15,0.00,42402.15
1577125,"",202303637,2023-10-26,2024-01-24,USD,41882.40,0.00,41882.40
1577106,"",202304436,2023-12-19,2024-03-18,USD,41638.80,0.00,41638.80
1577106,"",202303680,2023-10-31,2024-01-29,USD,41638.80,0.00,41638.80
1319905,"",202304521,2023-12-22,2024-01-06,USD,40950.00,0.00,40950.00
1520804,"",202304251,2023-12-11,2024-02-09,USD,40724.88,0.00,40724.88
