cust,cust_name,inv_num,inv_date,due_date,currency,inv_amount,paid_total,balance
1275203,"",202304052,2023-11-30,2024-02-28,USD,12453.00,0.00,12453.00
1456501,"",202303505,2023-10-16,2024-01-14,USD,12453.00,0.00,12453.00
1456501,"",202303991,2023-11-27,2024-02-25,USD,12453.00,0.00,12453.00
1456501,"",202303050,2023-09-12,2023-12-11,USD,12453.00,0.00,12453.00
1577118,"",202304444,2023-12-19,2024-03-18,USD,12364.80,0.00,12364.80
1319905,"",202304248,2023-12-09,2023-12-24,USD,12098.31,0.00,12098.31
1034704,"",202304170,2023-12-06,2024-02-19,USD,12001.50,0.00,12001.50
1034704,"",202303824,2023-11-08,2024-01-22,USD,12001.50,0.00,12001.50
1520801,"",202304402,2023-12-18,2024-03-02,USD,11896.50,0.00,11896.50
1577102,"",202304119,2023-12-04,2024-03-03,USD,11878.65,0.00,11878.65
1319905,"",202304360,2023-12-14,2023-12-29,USD,11831.40,0.00,11831.40
1319905,"",202304212,2023-12-07,2023-12-22,USD,11831.40,0.00,11831.40
1034704,"",202303960,2023-11-22,2024-02-05,USD,11812.50,0.00,11812.50
1520801,"",202304403,2023-12-18,2024-03-02,USD,11730.60,0.00,11730.60
1669601,"",202303920,2023-11-20,2024-02-18,USD,11642.40,0.00,11642.40
1520801,"",202304318,2023-12-13,2024-02-26,USD,11635.68,0.00,11635.68
1520801,"",202304040,2023-11-29,2024-02-12,USD,11635.68,0.00,11635.68
1456501,"",202303115,2023-09-18,2023-12-17,USD,11541.81,0.00,11541.81
1034704,"",202304392,2023-12-18,2024-03-02,USD,11533.20,0.00,11533.20
1034704,"",202303825,2023-11-08,2024-01-22,USD,11533.20,0.00,11533.20
1034704,"",202304393,2023-12-18,2024-03-02,USD,11303.46,0.00,11303.46
1034704,"",202303959,2023-11-22,2024-02-05,USD,11303.46,0.00,11303.46
1034704,"",202303868,2023-11-15,2024-01-29,USD,11302.20,0.00,11302.20
1520804,"",202304104,2023-12-04,2024-02-02,USD,11277.00,0.00,11277.00
1822501,"",202303921,2023-11-20,2024-01-19,USD,11239.20,0.00,11239.20
1034704,"",202303826,2023-11-08,2024-01-22,USD,10949.40,0.00,10949.40
1034704,"",202303610,2023-10-25,2024-01-08,USD,10949.40,0.00,10949.40
1034704,"",202303516,2023-10-18,2024-01-01,USD,10949.40,0.00,10949.40
1577102,"",202304116,2023-12-04,2024-03-03,USD,10920.00,0.00,10920.00
1319905,"",202304359,2023-12-14,2023-12-29,USD,10701.60,0.00,10701.60
1275203,"",202303501,2023-10-16,2024-01-14,USD,10689.00,0.00,10689.00
1520802,"",202304218,2023-12-08,2024-02-21,USD,10577.70,0.00,10577.70
1839205,"",202303885,2023-11-17,2023-12-17,USD,10500.00,0.00,10500.00
1928301,"",202303861,2023-11-14,2024-01-13,USD,10487.40,0.00,10487.40
1283301,"",202303997,2023-11-27,2023-12-27,USD,10484.04,0.00,10484.04
1805902,"",202303841,2023-11-10,2023-12-25,USD,10447.50,0.00,10447.50
1319905,"",202304424,2023-12-18,2024-01-02,USD,10330.32,0.00,10330.32
1319905,"",202304453,2023-12-19,2024-01-03,USD,10285.38,0.00,10285.38
1319905,"",202304200,2023-12-07,2023-12-22,USD,10285.38,0.00,10285.38
1577118,"",202303800,2023-11-07,2024-02-05,USD,10246.32,0.00,10246.32
1587702,"",202304470,2023-12-20,2024-01-19,USD,10080.00,0.00,10080.00
1319905,"",202304418,2023-12-18,2024-01-02,USD,9963.24,0.00,9963.24
1319905,"",202304302,2023-12-12,2023-12-27,USD,9963.24,0.00,9963.24
1577106,"",202304437,2023-12-19,2024-03-18,USD,9899.40,0.00,9899.40
1577106,"",202304289,2023-12-12,2024-03-11,USD,9899.40,0.00,9899.40
1577102,"",202303914,2023-11-20,2024-02-18,USD,9885.75,0.00,9885.75
1319905,"",202304419,2023-12-18,2024-01-02,USD,9746.73,0.00,9746.73
1577118,"",202303802,2023-11-07,2024-02-05,USD,9502.50,0.00,9502.50
1577118,"",202304518,2023-12-22,2024-03-21,USD,9450.00,0.00,9450.00
1319905,"",202304523,2023-12-28,2024-01-12,USD,9296.28,0.00,9296.28
1520802,"",202304078,2023-12-01,2024-02-14,USD,9160.20,0.00,9160.20
1034704,"",202303449,2023-10-11,2023-12-25,USD,9124.50,0.00,9124.50
1577118,"",202303241,2023-09-26,2023-12-25,USD,9009.00,0.00,9009.00
1319905,"",202304386,2023-12-15,2023-12-30,USD,8992.20,0.00,8992.20
1319905,"",202304461,2023-12-19,2024-01-03,USD,8858.22,0.00,8858.22
1319905,"",202304526,2023-12-29,2024-01-13,USD,8853.60,0.00,8853.60
1319905,"",202304275,2023-12-11,2023-12-26,USD,8820.00,0.00,8820.00
1319905,"",202304203,2023-12-07,2023-12-22,USD,8820.00,0.00,8820.00
1319905,"",202304328,2023-12-13,2023-12-28,USD,8799.84,0.00,8799.84
1275204,"",202303649,2023-10-30,2024-01-28,USD,8580.60,0.00,8580.60
1275204,"",202303560,2023-10-23,2024-01-21,USD,8580.60,0.00,8580.60
1319905,"",202304300,2023-12-12,2023-12-27,USD,8465.94,0.00,8465.94
1319905,"",202304483,2023-12-20,2024-01-04,USD,8261.40,0.00,8261.40
1319905,"",202304421,2023-12-18,2024-01-02,USD,8261.40,0.00,8261.40
1319905,"",202304378,2023-12-15,2023-12-30,USD,8261.40,0.00,8261.40
1319905,"",202304348,2023-12-14,2023-12-29,USD,8261.40,0.00,8261.40
1319905,"",202304304,2023-12-12,2023-12-27,USD,8261.40,0.00,8261.40
1319905,"",202304273,2023-12-11,2023-12-26,USD,8261.40,0.00,8261.40
1319905,"",202304202,2023-12-07,2023-12-22,USD,8261.40,0.00,8261.40
1319903,"",202304124,2023-12-04,2023-12-19,USD,8261.40,0.00,8261.40
1577102,"",202303916,2023-11-20,2024-02-18,USD,7896.00,0.00,7896.00
1822501,"",202304365,2023-12-15,2024-02-13,USD,7833.00,0.00,7833.00
1319905,"",202304210,2023-12-07,2023-12-22,USD,7789.95,0.00,7789.95
1319905,"",202304500,2023-12-21,2024-01-05,USD,7750.47,0.00,7750.47
1319905,"",202304452,2023-12-19,2024-01-03,USD,7716.45,0.00,7716.45
1319905,"",202304375,2023-12-15,2023-12-30,USD,7716.45,0.00,7716.45
1319905,"",202304342,2023-12-14,2023-12-29,USD,7716.45,0.00,7716.45
1319905,"",202304301,2023-12-12,2023-12-27,USD,7716.45,0.00,7716.45
1319905,"",202304270,2023-12-11,2023-12-26,USD,7716.45,0.00,7716.45
1319905,"",202304237,2023-12-08,2023-12-23,USD,7716.45,0.00,7716.45
1275204,"",202303242,2023-09-26,2023-12-25,USD,7660.80,0.00,7660.80
1456501,"",202303213,2023-09-25,2023-12-24,USD,7560.00,0.00,7560.00
1319905,"",202304298,2023-12-12,2023-12-27,USD,7543.20,0.00,7543.20
1319905,"",202304340,2023-12-14,2023-12-29,USD,7365.75,0.00,7365.75
1319905,"",202304510,2023-12-21,2024-01-05,USD,7194.60,0.00,7194.60
1034704,"",202303692,2023-11-01,2024-01-15,USD,6912.36,0.00,6912.36
1319905,"",202304524,2023-12-28,2024-01-12,USD,6881.28,0.00,6881.28
1319905,"",202304430,2023-12-18,2024-01-02,USD,6806.10,0.00,6806.10
1319905,"",202304327,2023-12-13,2023-12-28,USD,6770.19,0.00,6770.19
1319905,"",202304265,2023-12-11,2023-12-26,USD,6696.90,0.00,6696.90
1319905,"",202304504,2023-12-21,2024-01-05,USD,6676.74,0.00,6676.74
1319905,"",202304481,2023-12-20,2024-01-04,USD,6676.74,0.00,6676.74
1319905,"",202304376,2023-12-15,2023-12-30,USD,6676.74,0.00,6676.74
1319905,"",202304326,2023-12-13,2023-12-28,USD,6676.74,0.00,6676.74
1319903,"",202304257,2023-12-11,2023-12-26,USD,6673.80,0.00,6673.80
1034704,"",202303608,2023-10-25,2024-01-08,USD,6593.58,0.00,6593.58
1034704,"",202303446,2023-10-11,2023-12-25,USD,6593.58,0.00,6593.58
1577115,"",202303243,2023-09-26,2023-12-25,USD,6583.50,0.00,6583.50
1456501,"",202303962,2023-11-22,2024-02-20,USD,6448.05,0.00,6448.05
1577118,"",202304517,2023-12-22,2024-03-21,USD,6300.00,0.00,6300.00
1319905,"",202304385,2023-12-15,2023-12-30,USD,6227.76,0.00,6227.76
1319905,"",202304279,2023-12-11,2023-12-26,USD,6227.76,0.00,6227.76
1319905,"",202304509,2023-12-21,2024-01-05,USD,6211.80,0.00,6211.80
1319905,"",202304492,2023-12-20,2024-01-04,USD,6211.80,0.00,6211.80
1319905,"",202304463,2023-12-19,2024-01-03,USD,6211.80,0.00,6211.80
1319905,"",202304431,2023-12-18,2024-01-02,USD,6211.80,0.00,6211.80
1319905,"",202304283,2023-12-11,2023-12-26,USD,6211.80,0.00,6211.80
1319905,"",202304244,2023-12-08,2023-12-23,USD,6211.80,0.00,6211.80
1319905,"",202304213,2023-12-07,2023-12-22,USD,6211.80,0.00,6211.80
1577118,"",202303381,2023-10-05,2024-01-03,USD,6182.40,0.00,6182.40
1577102,"",202304409,2023-12-18,2024-03-17,USD,6098.40,0.00,6098.40
1577102,"",202304120,2023-12-04,2024-03-03,USD,6098.40,0.00,6098.40
1319905,"",202304311,2023-12-12,2023-12-27,USD,6095.04,0.00,6095.04
1319905,"",202304245,2023-12-08,2023-12-23,USD,6095.04,0.00,6095.04
1577117,"",202303535,2023-10-20,2024-01-18,USD,6090.00,0.00,6090.00
1034704,"",202303609,2023-10-25,2024-01-08,USD,5766.60,0.00,5766.60
1456501,"",202303040,2023-09-11,2023-12-10,USD,5728.80,0.00,5728.80
1319905,"",202304338,2023-12-14,2023-12-29,USD,5657.40,0.00,5657.40
1319905,"",202304268,2023-12-11,2023-12-26,USD,5657.40,0.00,5657.40
1034704,"",202303613,2023-10-25,2024-01-08,USD,5651.73,0.00,5651.73
1034704,"",202303447,2023-10-11,2023-12-25,USD,5651.73,0.00,5651.73
1319905,"",202304484,2023-12-20,2024-01-04,USD,5446.56,0.00,5446.56
1319905,"",202304380,2023-12-15,2023-12-30,USD,5446.56,0.00,5446.56
1319905,"",202304349,2023-12-14,2023-12-29,USD,5446.56,0.00,5446.56
1319905,"",202304239,2023-12-08,2023-12-23,USD,5446.56,0.00,5446.56
1319905,"",202304204,2023-12-07,2023-12-22,USD,5446.56,0.00,5446.56
1319905,"",202304281,2023-12-11,2023-12-26,USD,5367.60,0.00,5367.60
1319905,"",202304414,2023-12-18,2024-01-02,USD,5285.70,0.00,5285.70
1319905,"",202304233,2023-12-08,2023-12-23,USD,5285.70,0.00,5285.70
1577106,"",202304439,2023-12-19,2024-03-18,USD,5123.16,0.00,5123.16
1577102,"",202304285,2023-12-12,2024-03-11,USD,5123.16,0.00,5123.16
1577102,"",202304258,2023-12-11,2024-03-10,USD,5123.16,0.00,5123.16
1275204,"",202303935,2023-11-21,2024-02-19,USD,5107.20,0.00,5107.20
1275204,"",202303674,2023-10-31,2024-01-29,USD,5107.20,0.00,5107.20
1319905,"",202304379,2023-12-15,2023-12-30,USD,5087.88,0.00,5087.88
1319905,"",202304341,2023-12-14,2023-12-29,USD,5073.60,0.00,5073.60
1319905,"",202304236,2023-12-08,2023-12-23,USD,5073.60,0.00,5073.60
1520802,"",202304331,2023-12-14,2024-02-27,USD,4974.48,0.00,4974.48
1319905,"",202304350,2023-12-14,2023-12-29,USD,4762.80,0.00,4762.80
1319905,"",202304387,2023-12-16,2023-12-31,USD,4748.10,0.00,4748.10
1319905,"",202304309,2023-12-12,2023-12-27,USD,4748.10,0.00,4748.10
1129701,"",202303832,2023-11-09,2024-01-08,USD,4739.70,0.00,4739.70
1319905,"",202304475,2023-12-20,2024-01-04,USD,4187.40,0.00,4187.40
1319905,"",202304449,2023-12-19,2024-01-03,USD,4187.40,0.00,4187.40
1319905,"",202304369,2023-12-15,2023-12-30,USD,4187.40,0.00,4187.40
1319905,"",202304332,2023-12-14,2023-12-29,USD,4187.40,0.00,4187.40
1319905,"",202304263,2023-12-11,2023-12-26,USD,4187.40,0.00,4187.40
1319905,"",202304230,2023-12-08,2023-12-23,USD,4187.40,0.00,4187.40
1319905,"",202304193,2023-12-07,2023-12-22,USD,4187.40,0.00,4187.40
1319905,"",202304235,2023-12-08,2023-12-23,USD,4171.02,0.00,4171.02
1319905,"",202304422,2023-12-18,2024-01-02,USD,4170.18,0.00,4170.18
1319905,"",202304494,2023-12-20,2024-01-04,USD,4032.84,0.00,4032.84
1319905,"",202304465,2023-12-19,2024-01-03,USD,4032.84,0.00,4032.84
1319905,"",202304362,2023-12-14,2023-12-29,USD,4032.84,0.00,4032.84
1319905,"",202304313,2023-12-12,2023-12-27,USD,4032.84,0.00,4032.84
1034704,"",202303515,2023-10-18,2024-01-01,USD,4000.50,0.00,4000.50
1034704,"",202303448,2023-10-11,2023-12-25,USD,4000.50,0.00,4000.50
1129701,"",202303831,2023-11-09,2024-01-08,USD,3958.50,0.00,3958.50
1129701,"",202303834,2023-11-09,2024-01-08,USD,3938.55,0.00,3938.55
1034704,"",202303693,2023-11-01,2024-01-15,USD,3937.50,0.00,3937.50
1034704,"",202303514,2023-10-18,2024-01-01,USD,3937.50,0.00,3937.50
1319905,"",202304502,2023-12-21,2024-01-05,USD,3858.33,0.00,3858.33
1319905,"",202304373,2023-12-15,2023-12-30,USD,3771.60,0.00,3771.60
1129701,"",202303830,2023-11-09,2024-01-08,USD,3660.30,0.00,3660.30
1319905,"",202304450,2023-12-19,2024-01-03,USD,3606.75,0.00,3606.75
1319905,"",202304334,2023-12-14,2023-12-29,USD,3606.75,0.00,3606.75
1520802,"",202303968,2023-11-22,2024-02-05,USD,21329.28,17774.40,3554.88
1319905,"",202304372,2023-12-15,2023-12-30,USD,3523.80,0.00,3523.80
1319905,"",202304274,2023-12-11,2023-12-26,USD,3520.02,0.00,3520.02
1319905,"",202304346,2023-12-14,2023-12-29,USD,3385.20,0.00,3385.20
1319905,"",202304271,2023-12-11,2023-12-26,USD,3385.20,0.00,3385.20
1319903,"",202304127,2023-12-04,2023-12-19,USD,3336.90,0.00,3336.90
1129701,"",202303837,2023-11-09,2024-01-08,USD,3291.75,0.00,3291.75
1319905,"",202304370,2023-12-15,2023-12-30,USD,3131.10,0.00,3131.10
1319905,"",202304231,2023-12-08,2023-12-23,USD,3131.10,0.00,3131.10
1319905,"",202304429,2023-12-18,2024-01-02,USD,3088.05,0.00,3088.05
1129701,"",202303833,2023-11-09,2024-01-08,USD,3055.50,0.00,3055.50
1319905,"",202304216,2023-12-07,2023-12-22,USD,3047.52,0.00,3047.52
1129701,"",202303836,2023-11-09,2024-01-08,USD,2906.40,0.00,2906.40
1034704,"",202303612,2023-10-25,2024-01-08,USD,2825.55,0.00,2825.55
1034704,"",202303445,2023-10-11,2023-12-25,USD,2825.55,0.00,2825.55
1319905,"",202304474,2023-12-20,2024-01-04,USD,2824.50,0.00,2824.50
1319905,"",202304412,2023-12-18,2024-01-02,USD,2824.50,0.00,2824.50
1319905,"",202304368,2023-12-15,2023-12-30,USD,2824.50,0.00,2824.50
1319905,"",202304325,2023-12-13,2023-12-28,USD,2824.50,0.00,2824.50
1319905,"",202304262,2023-12-11,2023-12-26,USD,2824.50,0.00,2824.50
1319905,"",202304229,2023-12-08,2023-12-23,USD,2824.50,0.00,2824.50
1129701,"",202303839,2023-11-09,2024-01-08,USD,2783.55,0.00,2783.55
1129701,"",202303835,2023-11-09,2024-01-08,USD,2778.30,0.00,2778.30
1319904,"",202304227,2023-12-08,2024-01-07,USD,2665.74,0.00,2665.74
1319905,"",202304491,2023-12-20,2024-01-04,USD,2619.96,0.00,2619.96
1319905,"",202304479,2023-12-20,2024-01-04,USD,2610.51,0.00,2610.51
1319905,"",202304299,2023-12-12,2023-12-27,USD,2610.51,0.00,2610.51
1975001,"",202303391,2023-10-03,2024-01-01,USD,2572.71,0.00,2572.71
1319905,"",202304480,2023-12-20,2024-01-04,USD,2536.80,0.00,2536.80
1319905,"",202304451,2023-12-19,2024-01-03,USD,2536.80,0.00,2536.80
1319905,"",202304417,2023-12-18,2024-01-02,USD,2536.80,0.00,2536.80
1319905,"",202304374,2023-12-15,2023-12-30,USD,2536.80,0.00,2536.80
1319905,"",202304269,2023-12-11,2023-12-26,USD,2536.80,0.00,2536.80
1129701,"",202303838,2023-11-09,2024-01-08,USD,2492.70,0.00,2492.70
1319905,"",202304506,2023-12-21,2024-01-05,USD,2381.40,0.00,2381.40
1319905,"",202304485,2023-12-20,2024-01-04,USD,2381.40,0.00,2381.40
1319905,"",202304456,2023-12-19,2024-01-03,USD,2381.40,0.00,2381.40
1319905,"",202304423,2023-12-18,2024-01-02,USD,2381.40,0.00,2381.40
1319905,"",202304329,2023-12-13,2023-12-28,USD,2381.40,0.00,2381.40
1319905,"",202304276,2023-12-11,2023-12-26,USD,2381.40,0.00,2381.40
1319905,"",202304240,2023-12-08,2023-12-23,USD,2381.40,0.00,2381.40
1319905,"",202304205,2023-12-07,2023-12-22,USD,2381.40,0.00,2381.40
1319905,"",202304247,2023-12-09,2023-12-24,USD,2378.88,0.00,2378.88
1319905,"",202304487,2023-12-20,2024-01-04,USD,2215.71,0.00,2215.71
1319905,"",202304308,2023-12-12,2023-12-27,USD,2215.71,0.00,2215.71
1319904,"",202304228,2023-12-08,2024-01-07,USD,2116.59,0.00,2116.59
1319905,"",202304416,2023-12-18,2024-01-02,USD,2085.51,0.00,2085.51
1319905,"",202304209,2023-12-07,2023-12-22,USD,2084.88,0.00,2084.88
1319905,"",202304486,2023-12-20,2024-01-04,USD,2075.85,0.00,2075.85
1319905,"",202304427,2023-12-18,2024-01-02,USD,2075.85,0.00,2075.85
1319905,"",202304356,2023-12-14,2023-12-29,USD,2075.85,0.00,2075.85
1319905,"",202304307,2023-12-12,2023-12-27,USD,2075.85,0.00,2075.85
1319905,"",202304242,2023-12-08,2023-12-23,USD,2075.85,0.00,2075.85
1319905,"",202304246,2023-12-09,2023-12-24,USD,1948.38,0.00,1948.38
1319905,"",202304477,2023-12-20,2024-01-04,USD,1761.90,0.00,1761.90
1319905,"",202304335,2023-12-14,2023-12-29,USD,1761.90,0.00,1761.90
1319905,"",202304297,2023-12-12,2023-12-27,USD,1761.90,0.00,1761.90
1319905,"",202304266,2023-12-11,2023-12-26,USD,1761.90,0.00,1761.90
1319905,"",202304310,2023-12-12,2023-12-27,USD,1541.19,0.00,1541.19
1319905,"",202304215,2023-12-07,2023-12-22,USD,1541.19,0.00,1541.19
1319905,"",202304493,2023-12-20,2024-01-04,USD,1523.76,0.00,1523.76
1319905,"",202304464,2023-12-19,2024-01-03,USD,1523.76,0.00,1523.76
1319905,"",202304525,2023-12-28,2024-01-12,USD,390.39,0.00,390.39
